grade	number	Kanji	Strokes	Meaning	Onyomi	Kunyomi
2	159	海	9	sea	kai	umi
2	160	岩	8	rock	gan	iwa
2	161	星	9	star	sei	hoshi
2	162	室	9	room	shitsu	muro
2	163	戸	4	door	ko	to, be
2	164	家	10	house	ka, ke	ie
2	165	寺	6	Buddhist temple	ji	tera
2	166	通	10	pass through, commute	tsū	tō-ru, kayo-u
2	167	門	8	gates	mon	kado
2	168	道	12	road	dou	michi
2	169	話	13	talk	wa	hanashi, hana-su
2	170	言	7	say	gen, gon	i-u, koto
2	171	答	12	answer	tou	kota-eru
2	172	声	7	voice	sei	koe
2	173	聞	14	hear	bun, mon	ki-ku
2	174	語	14	language	go	kata-ru
2	175	読	14	read	doku	yo-mu
2	176	書	10	write	sho	ka-ku
2	177	記	10	record	ki	shiru-su
2	178	紙	10	paper	shi	kami
2	179	画	8	brush stroke	ga, kaku	
2	180	絵	12	picture	kai, e	
2	181	図	7	drawing	zu	haka-ru
2	182	工	3	craft	kō, ku	
2	183	教	11	teach	kyō	oshi-eru
2	184	晴	12	clear	sei	hare
2	185	思	9	think	shi	omo-u
2	186	考	6	consider	kō	kanga-eru
2	187	知	8	know	chi	shi-ru
2	188	才	3	ability	sai, zai	wazukani, zae
2	189	理	11	reason	ri	kotowari
2	190	算	14	calculate	san	
2	191	作	7	make	saku	tsuku-ru
2	192	元	4	origin	gen, gan	moto
2	193	食	9	eat	shoku	ta-beru, ku-u
2	194	肉	6	meat	niku	
2	195	馬	10	horse	ba	uma, ma
2	196	牛	4	cow	gyū	ushi
2	197	魚	11	fish	gyo	uo, sakana
2	198	鳥	11	bird	chō	tori
2	199	羽	6	feather	u	ha, hane
2	200	鳴	14	chirp	mei	na-ku
2	201	麦	7	wheat	baku	mugi
2	202	米	6	rice	bei, mai	kome
2	203	茶	9	tea	cha, sa	
2	204	色	6	colour	shoku	iro
2	205	黄	11	yellow	ō	ki
2	206	黒	11	black	koku	kuro
2	207	来	7	come	rai	ku-ru
2	208	行	6	go	kou, gyō	i-ku, yu-ku, okona-u
2	209	帰	10	return	ki	kae-ru
2	210	歩	8	walk	ho, fu, bu	aru-ku, ayu-mu
2	211	走	7	run	sou	hashi-ru
2	212	止	4	stop	shi	to-maru
2	213	活	9	active	katsu	i-kiru
2	214	店	8	store	ten	mise
2	215	買	12	buy	bai	ka-u
2	216	売	7	sell	bai	u-ru
2	217	午	4	noon	go	uma
2	218	汽	7	steam	ki	
2	219	弓	3	bow	kyū	yumi
2	220	回	6	number of times; revolve	kai	mawa-ru
2	221	会	6	meet	kai, e	a-u
2	222	組	11	team	so	kumi
2	223	船	11	ship	sen	fune
2	224	明	8	bright	mei	aka-rui
2	225	社	7	company	sha	yashiro
2	226	切	4	cut	setsu	ki-ru
2	227	電	13	electricity	den	inazuma
2	228	毎	6	every	mai	goto
2	229	合	6	fit	gou	a-u
2	230	当	6	this; hit	tō	a-taru
2	231	台	5	pedestal	dai, tai	
2	232	楽	13	music; pleasure	gaku, raku	tano-shii
2	233	公	4	public	kou	ōyake
2	234	引	4	pull	in	hi-ku
2	235	科	9	section	ka	
2	236	歌	14	song	ka	uta
2	237	刀	2	sword	tou	katana
2	238	番	12	number	ban	
2	239	用	5	use	you	mochi-iru
2	240	何	7	what	ka	nani, nan
3	241	丁	2	town section; measure word	chō	hinoto
3	242	世	5	generation	sei, se	yo
3	243	両	6	both	ryō	teru, futatsu
3	244	主	5	master; main	shu	nushi, omo
3	245	乗	9	ride	jō	no-ru
3	246	予	4	beforehand	yo	arakaji-me
3	247	事	8	untangible thing	ji	koto
3	248	仕	5	serve	shi	tsuka-eru
3	249	他	5	other	ta	hoka
3	250	代	5	substitute	dai, tai	ka-waru, yo
3	251	住	7	dwell	jū	su-mu
3	252	使	8	use	shi	tsuka-u
3	253	係	9	person in charge	kei	kakari, kaka-ru
3	254	倍	10	double	bai	
3	255	全	6	whole	zen	matta-ku
3	256	具	8	tool	gu	sona-eru, tsubusa-ni
3	257	写	5	copy	sha	utsu-su
3	258	列	6	row	retsu	
3	259	助	7	help	jo	tasu-keru
3	260	勉	10	diligence	ben	tsuto-meru
3	261	動	11	move	dō	ugo-ku
3	262	勝	12	win	shō	ka-tsu
3	263	化	4	change	ka	ba-keru
3	264	区	4	ward	ku	
3	265	医	7	doctor	i	iya-su, i-suru
3	266	去	5	leave	kyo, ko	sa-ru
3	267	反	4	anti-	han	so-ru
3	268	取	8	take	shu	to-ru
3	269	受	8	receive	ju	u-keru
3	270	号	5	number	gō	yobina, sake-bu
3	271	向	6	face	kō	mu-kau
3	272	君	7	you; monarch	kun	kimi
3	273	味	8	flavor	mi	aji, aji-wau
3	274	命	8	fate, life	mei	inochi
3	275	和	8	harmony; Japanese	wa	yawa-ragu, nago-yaka
3	276	品	9	article	hin	shina
3	277	員	10	employee	in	
3	278	商	11	commerce	shō	
3	279	問	11	question	mon	to-u, ton
3	280	坂	7	slope	han	saka
3	281	央	5	center	ō	
3	282	始	8	begin	shi	haji-meru
3	283	委	8	committee	i	yuda-neru
3	284	守	6	protect	shu	mamo-ru
3	285	安	6	cheap; calm	an	yasu-i
3	286	定	8	determine	tei, jō	sada-meru
3	287	実	8	fruit; realization	jitsu	mi, mino-ru
