grade	number	Kanji	Strokes	Meaning	Onyomi	Kunyomi
5	696	徳	14	virtue	toku	
5	697	志	7	intention	shi	kokorozashi
5	698	応	7	respond	ō	
5	699	快	7	cheerful	kai	kokoroyo-i
5	700	性	8	gender	sei, shō	saga
5	701	恩	10	grace	on	
5	702	情	11	feelings	jō	nasa-ke
5	703	態	14	condition	tai	
5	704	慣	14	accustomed	kan	na-reru
5	705	承	8	acquiesce	shō	uketamawa-ru
5	706	技	7	skill	gi	waza
5	707	招	8	beckon	shō	mane-ku
5	708	授	11	instruct	ju	sazu-keru
5	709	採	11	pick	sai	to-ru
5	710	接	11	contact	setsu	tsu-gu
5	711	提	12	propose	tei	sa-geru
5	712	損	13	loss	son	soko-neru
5	713	支	4	support	shi	sasa-eru
5	714	政	9	politics	sei	matsurigoto
5	715	故	9	circumstances	ko	yue
5	716	敵	15	enemy	teki	kataki
5	717	断	11	cut off	dan	ta-tsu, kotowa-ru
5	718	旧	5	old times	kyū	
5	719	易	8	easy	eki	yasa-shii
5	720	暴	15	outburst	bō	aba-ku
5	721	条	7	clause	jō	kudari
5	722	枝	8	branch	shi	eda
5	723	査	9	investigate	sa	
5	724	格	10	status	kaku	
5	725	桜	10	cherry	ō	sakura
5	726	検	12	examine	ken	
5	727	構	14	construct	kō	kama-eru
5	728	武	8	military	bu, mu	
5	729	比	4	compare	hi	kura-beru
5	730	永	5	eternity	ei	naga-i
5	731	河	8	stream	ka	kawa
5	732	液	11	fluid	eki	
5	733	混	11	mix	kon	ma-zeru
5	734	減	12	decrease	gen	he-ru
5	735	測	12	fathom	soku	haka-ru
5	736	準	13	standard	jun	
5	737	演	14	perform	en	
5	738	潔	15	undefiled	ketsu	isagiyo-i
5	739	災	7	disaster	sai	wazawa-i
5	740	燃	16	burn	nen	mo-eru
5	741	版	8	printing block	han	
5	742	犯	5	crime	han	oka-su
5	743	状	7	form	jō	
5	744	独	9	alone	doku	hito-ri
5	745	率	11	rate	ritsu, sotsu	hiki-iru
5	746	現	11	appear	gen	arawa-reru
5	747	留	10	detain	ryū, ru	todo-maru
5	748	略	11	abbreviation	ryaku	
5	749	益	10	benefit	eki	
5	750	眼	11	eyeball	gan	me
5	751	破	10	rend	ha	yabu-ru
5	752	確	15	certain	kaku	tashi-ka
5	753	示	5	indicate	shi	shime-su
5	754	祖	9	ancestor	so	
5	755	禁	13	prohibition	kin	
5	756	移	11	shift	i	utsu-ru
5	757	程	12	extent	tei	hodo
5	758	税	12	tax	zei	
5	759	築	16	fabricate	chiku	kizu-ku
5	760	精	14	refined	sei	
5	761	素	10	elementary	su, so	moto
5	762	経	11	manage	kei, kyō	he-ru
5	763	統	12	relationship	tō	su-beru
5	764	絶	12	discontinue	zetsu	ta-tsu
5	765	綿	14	cotton	men	wata
5	766	総	14	whole	sō	
5	767	編	15	compile	hen	a-mu
5	768	績	17	exploits	seki	
5	769	織	18	weave	shiki	o-ru
5	770	罪	13	guilt	zai	tsumi
5	771	群	13	flock	gun	mu-reru
5	772	義	13	righteousness	gi	
5	773	耕	10	till	kō	tagaya-su
5	774	職	18	employment	shoku	
5	775	肥	8	fertilizer	hi	ko-yasu
5	776	能	10	ability	nō	
5	777	興	16	entertain	kyō	oko-su
5	778	舌	6	tongue	zetsu	shita
5	779	舎	8	cottage	sha	
5	780	術	11	art	jutsu	sube
5	781	衛	16	defense	ei	
5	782	製	14	manufacture	sei	
5	783	複	14	duplicate	fuku	
5	784	規	11	rule	ki	
5	785	解	13	untie	ge, kai	to-ku
5	786	設	11	establish	setsu	mou-keru
5	787	許	11	permit	kyo	yuru-su
5	788	証	12	evidence	shō	akashi
5	789	評	12	evaluate	hyō	
5	790	講	17	lecture	kō	
5	791	謝	17	apologize	sha	ayama-ru
5	792	識	19	discriminating	shiki	
5	793	護	20	safeguard	go	mamo-ru
5	794	豊	13	bountiful	hō	yuta-ka
5	795	財	10	wealth	zai	
5	796	貧	11	poor	hin	mazu-shii
5	797	責	11	blame	seki	se-meru
5	798	貸	12	lend	tai	ka-su
5	799	貿	12	trade	bō	
5	800	賀	12	congratulations	ga	
5	801	資	13	resources	shi	
5	802	賛	15	approve	san	
5	803	質	15	quality	shitsu	
5	804	輸	16	transport	yu	
5	805	述	8	mention	jutsu	no-beru
5	806	迷	9	astray	mei	mayo-u
5	807	退	9	retreat	tai	shirizo-ku
5	808	逆	9	inverted	gyaku	saka-rau
5	809	造	10	create	zō	tsuku-ru
5	810	過	12	overdo	ka	ayama-chi
5	811	適	14	suitable	teki	
5	812	酸	14	acid	san	
5	813	鉱	13	mineral	kō	
5	814	銅	14	copper	dō	
5	815	銭	14	coin	sen	zeni
5	816	防	7	resist	bō	fuse-gu
5	817	限	9	limit	gen	kagi-ru
5	818	険	11	precipitous	ken	kewa-shii
5	819	際	14	occasion	sai	kiwa
5	820	雑	14	miscellaneous	zatsu	
5	821	非	8	negative	hi	ara-zu
5	822	預	13	deposit	yo	azu-keru
5	823	領	14	territory	ryō	
5	824	額	18	amount	gaku	hitai
5	825	飼	13	domesticate	shi	ka-u
6	826	並	8	row	hei	nami, nara-bu
6	827	乱	7	chaos	ran	mida-reru
6	828	乳	8	milk	nyū	chichi
6	829	亡	3	deceased	bō	na-kunaru
6	830	仁	4	kindness	jin	
6	831	供	8	offer	kyō, ku	tomo
6	832	俳	10	actor	hai	
6	833	値	10	value	chi	atai
6	834	傷	13	wound	shō	kizu
6	835	優	17	superior	yū	yasa-shii
6	836	党	10	political party	tō	
6	837	冊	5	counter for books	satsu	
6	838	処	5	dispose	sho	
6	839	刻	8	engrave	koku	kiza-mu
6	840	割	12	divide	katsu	wa-ru
6	841	創	12	create	sō	tsuku-ru
6	842	劇	15	drama	geki	
6	843	勤	12	diligence	kin	tsuto-meru
6	844	危	6	dangerous	ki	abu-nai
6	845	卵	7	egg	ran	tamago
6	846	厳	17	strict	gen	kibi-shii
6	847	収	4	obtain	shū	osa-meru
6	848	后	6	queen	kō, gō	kisaki
6	849	否	7	negate	hi	ina, iya
6	850	吸	6	suck	kyū	su-u
6	851	呼	8	call	ko	yo-bu
6	852	善	12	virtue	zen	yo-i
6	853	困	7	quandary	kon	koma-ru
6	854	垂	8	droop	sui	ta-reru
6	855	城	9	castle	jō	shiro
6	856	域	11	range	iki	
6	857	奏	9	play music	sō	kana-deru
6	858	奮	16	stirred up	fun	furu-u
6	859	姿	9	shape	shi	sugata
6	860	存	6	suppose	son	
6	861	孝	7	filial piety	kō	
6	862	宅	6	home	taku	ie
6	863	宇	6	eaves	u	
6	864	宗	8	religion	shū	sō
6	865	宙	8	mid-air	chū	
6	866	宝	8	treasure	hō	takara
6	867	宣	9	proclaim	sen	notama-u
6	868	密	11	secrecy	mitsu	
6	869	寸	3	measurement	sun	
6	870	専	9	specialty	sen	moppa-ra
6	871	射	10	shoot	sha	i-ru
6	872	将	10	leader	shō	
6	873	尊	12	revered	son	touto-bu
6	874	就	12	concerning	shū	tsu-ku
6	875	尺	4	measure of length	shaku	
6	876	届	8	deliver	kai	todo-ku
6	877	展	10	expand	ten	
6	878	層	14	stratum	sō	
6	879	己	3	self	ko	onore
6	880	巻	9	scroll	kan	maki
6	881	幕	13	curtain	maku, baku	
6	882	干	3	dry	kan	ho-su
6	883	幼	5	infancy	yō	osana-i
6	884	庁	5	government office	chō	
6	885	座	10	sit	za	suwa-ru
6	886	延	8	prolong	en	no-basu
6	887	律	9	rhythm	ritsu	
6	888	従	10	obey	jū	shitaga-u
6	889	忘	7	forget	bō	wasu-reru
6	890	忠	8	loyalty	chū	
6	891	憲	16	constitution	ken	
6	892	我	7	ego	ga	ware
6	893	批	7	criticism	hi	
6	894	担	8	shouldering	tan	nina-u
6	895	拝	8	worship	hai	oga-mu
6	896	拡	8	broaden	kaku	hiro-geru
6	897	捨	11	discard	sha	su-teru
6	898	探	11	look for, search	tan	saga-su
6	899	推	11	infer	sui	
6	900	揮	12	brandish	ki	
6	901	操	16	maneuver	sō	ayatsu-ru
6	902	敬	12	respect	kei	uyama-u
6	903	映	9	reflect	ei	utsu-ru
6	904	晩	12	nightfall	ban	
6	905	暖	13	warmth	dan	atata-kai
6	906	暮	14	livelihood	bo	ku-rasu
6	907	朗	10	melodious	rō	hoga-raka
6	908	机	6	desk	ki	tsukue
6	909	枚	8	sheet of...	mai	
6	910	染	9	dye	sen	so-meru
6	911	株	10	stocks	shu	kabu
6	912	棒	12	rod	bō	
6	913	模	14	imitation	mo, bo	
6	914	権	15	rights	ken	
6	915	樹	16	trees	ju	ki
6	916	欲	11	longing	yoku	ho-shii
6	917	段	9	steps	dan	
6	918	沿	8	run alongside	en	so-u
6	919	泉	9	fountain	sen	izumi
6	920	洗	9	wash	sen	ara-u
6	921	派	9	sect	ha	
6	922	済	11	settle	sai	su-mu
6	923	源	13	source	gen	minamoto
6	924	潮	15	tide	chō	shio
6	925	激	16	violent	geki	hage-shii
6	926	灰	6	ashes	kai	hai
6	927	熟	15	ripen	juku	u-reru
6	928	片	4	one-sided	hen	kata
6	929	班	10	corps	han	
6	930	異	11	uncommon	i	koto-naru
6	931	疑	14	doubt	gi	utaga-u
6	932	痛	12	pain	tsū	ita-i
6	933	皇	9	emperor	kō, ō	
6	934	盛	11	prosper	sei	mo-ru
6	935	盟	13	alliance	mei	
6	936	看	9	watch over	kan	
6	937	砂	9	sand	sa, sha	suna
6	938	磁	14	magnet	ji	
6	939	私	7	me	shi	watakushi, watashi
6	940	秘	10	secret	hi	hi-meru
6	941	穀	14	cereal	koku	
6	942	穴	5	hole	ketsu	ana
6	943	窓	11	window	sō	mado
6	944	筋	12	muscle	kin	suji
6	945	策	12	scheme	saku	
6	946	簡	18	simplicity	kan	
6	947	糖	16	sugar	tō	
6	948	系	7	lineage	kei	
6	949	紅	9	crimson	kō	beni, kurenai
6	950	納	10	settlement	nō	osa-meru
6	951	純	10	genuine	jun	
6	952	絹	13	silk	ken	kinu
6	953	縦	16	vertical	jū	tate
6	954	縮	17	shrink	shuku	chidi-mu
6	955	署	13	government office	sho	
6	956	翌	11	forthcoming	yoku	
6	957	聖	13	holy	sei	
6	958	肺	9	lung	hai	
6	959	背	9	back	hai	se
6	960	胸	10	bosom	kyō	mune
6	961	脳	11	brain	nō	
6	962	腹	13	abdomen	fuku	hara
6	963	臓	19	entrails	zō	
6	964	臨	18	lookover	rin	nozo-mu
6	965	至	6	climax	shi	ita-ru
6	966	若	8	young	jaku	waka-i
6	967	著	11	renowned	cho	arawa-su, ichijiru-shii
6	968	蒸	13	foment	jō	mu-su
6	969	蔵	15	storehouse	zō	kura
6	970	蚕	10	silkworm	san	kaiko
6	971	衆	12	masses	shū	
6	972	裁	12	judge	sai	saba-ku
6	973	装	12	attire	sō, shō	yosoo-u
6	974	裏	13	rear	ri	ura
6	975	補	12	supplement	ho	ogina-u
6	976	視	11	look at	shi	mi-ru
6	977	覧	17	perusal	ran	
6	978	討	10	chastise	tō	u-tsu
6	979	訪	11	visit	hō	tazu-neru
6	980	訳	11	translate; reason	yaku	wake
6	981	詞	12	poetry	shi	kotoba
6	982	誌	14	document	shi	
6	983	認	14	recognize	nin	mito-meru
6	984	誕	15	born	tan	
6	985	誠	13	sincerity	sei	makoto
6	986	誤	14	mistake	go	ayama-ru
6	987	論	15	theory	ron	
6	988	諸	15	various	sho	moro
6	989	警	19	admonish	kei	imashi-meru
6	990	貴	12	precious	ki	tatto-i
6	991	賃	13	fare	chin	
6	992	遺	15	bequeath	i	
6	993	郵	11	mail	yū	
6	994	郷	11	home town	kyō	gō
6	995	針	10	needle	shin	hari
6	996	鋼	16	steel	kō	hagane
6	997	閉	11	closed	hei	shi-meru
6	998	閣	14	tower	kaku	
6	999	降	10	descend	kō	o-riru
6	1000	陛	10	majesty	hei	
6	1001	除	10	exclude	jo, ji	nozo-ku
6	1002	障	14	hurt	shō	sawa-ru
6	1003	難	18	difficult	nan	muzuka-shii
6	1004	革	9	leather	kaku	kawa
6	1005	頂	11	place on the head	chō	itada-ku
6	1006	骨	10	bone	kotsu	hone
4	1007	茨	9	caltrop	shi, ji	ibara, kusabuki, kaya
4	1008	媛	12	beauty	en	hime
4	1009	岡	8	ridge of crest of hill	kou	oka
4	1010	潟	15	land impregnated with salt from the tide	seki	kata
4	1011	岐	7	high	ki, gi	edamichi
4	1012	熊	14	bear	yuu	kuma
4	1013	香	9	fragrant	kou, kyou	kaori, ka
4	1014	佐	7	assist	sa	tasuke, tasukeru, suke
4	1015	埼	11	headland	ki	saki
4	1016	崎	11	rough	ki	saki, kewashii
4	1017	滋	12	grow	ju, shi	shigeru, masu, masumasu
4	1018	鹿	11	deer	roku	shika, ka
4	1019	縄	15	rope	jou, bin, you	nawa
4	1020	井	4	well	sei, shou	i, ido
4	1021	沖	7	pour	chuu	oki, waku
4	1022	栃	9	type of oak		tochi
4	1023	奈	8	but	na, dai	karanashi
4	1024	梨	11	pear	ri	nashi
4	1025	阪	6	hillside farmland	han	saka
4	1026	阜	8	mound	fu	oka
