age_months	DK_danish	SW_swedish	NL_dutch	EN_UK	EN_US	ES_MX	ES_ES	GL_galician	EU_basque	FR_french	HR_croatian	IT_italian	FI_finnish
8	7.1642	4.9681	9.2142	NA	21.2201	43.475	16.6814	27.2231	6.5786	16.3884	13.6065	NA	NA
9	11.0983	10.9516	12.1234	NA	25.1536	33.9388	27.2035	38.038	13.4405	21.6399	27.4965	19.7365	NA
10	18.9846	18.9848	19.863	NA	39.3362	43.4356	37.8719	42.4106	27.7694	30.5516	39.7753	33.1868	NA
11	30.5316	30.8246	30.6783	NA	54.8364	85.1438	62.7428	70.5027	33.3138	49.5655	46.6374	56.5934	NA
12	42.8111	43.8359	47.2036	52.4744	74.2898	86.7348	83.5138	103.2797	71.508	77.95	90.1026	93.0308	66.6763
13	57.14	77.9306	68.4138	52.1621	111.752	111.3129	94.6216	113.6555	88.4725	90.083	120.8296	113.0699	104.2848
14	68.3941	107.1934	93.2846	72.0547	149.6532	142.1864	131.6448	130.034	106.6078	123.8847	157.2669	126.9595	159.0239
15	87.1155	139.6779	123.7189	89.0188	151.83	NA	158.7115	175.6953	162.0791	140.849	187.1157	139.9706	NA
