Country name	country_short	country_code	area	Ladder score	Standard error of ladder score	upperwhisker	lowerwhisker	high_low_rank	high_low_year	high_low_var	Logged GDP per capita	Social support	Healthy life expectancy	Freedom to make life choices	Generosity	Perceptions of corruption	Ladder score in Dystopia	Explained by: Log GDP per capita	Explained by: Social support	Explained by: Healthy life expectancy	Explained by: Freedom to make life choices	Explained by: Generosity	Explained by: Perceptions of corruption	Dystopia + residual
Liberia	Liberia	LBR	Sub-Saharan Africa	4.042	0.144	4.325	3.76	137	2022	6.859	7.277	0.596	56.7	0.735	0.154	0.83	1.778	0.628	0.644	0.141	0.471	0.219	0.071	1.869
India	India	IND	Asia-Pacific	4.036	0.029	4.092	3.98	125	2022	4.64	8.759	0.608	60.777	0.897	0.072	0.774	1.778	1.159	0.674	0.252	0.685	0.175	0.111	0.979
Madagascar	Madagascar	MDG	Sub-Saharan Africa	4.019	0.092	4.199	3.839	77	2022	3.764	7.29	0.65	58.05	0.522	0.075	0.742	1.778	0.632	0.779	0.178	0.187	0.177	0.134	1.932
Zambia	Zambia	ZMB	Sub-Saharan Africa	3.982	0.094	4.167	3.797	129	2021	4.89	8.074	0.694	55.032	0.791	0.098	0.818	1.778	0.914	0.89	0.095	0.545	0.189	0.08	1.27
Tanzania	Tanzania	TZA	Sub-Saharan Africa	3.694	0.075	3.84	3.547	128	2022	4.873	7.857	0.653	59.401	0.838	0.182	0.554	1.778	0.836	0.787	0.214	0.607	0.234	0.269	0.747
Comoros	Comoros	COM	Sub-Saharan Africa	3.545	0.117	3.774	3.317	124	2022	4.631	8.075	0.471	59.425	0.47	-0.014	0.727	1.778	0.914	0.327	0.215	0.117	0.129	0.145	1.699
Malawi	Malawi	MWI	Sub-Saharan Africa	3.495	0.09	3.671	3.32	133	2022	5.612	7.302	0.531	58.475	0.75	0.005	0.749	1.778	0.637	0.479	0.189	0.49	0.139	0.129	1.432
Botswana	Botswana	BWA	Sub-Saharan Africa	3.435	0.136	3.702	3.168	126	2022	4.764	9.629	0.753	54.725	0.742	-0.215	0.83	1.778	1.471	1.041	0.087	0.48	0.021	0.071	0.264
Congo (Kinshasa)	Democratic Republic of the Congo	COD	Sub-Saharan Africa	3.207	0.095	3.394	3.02	136	2022	6.063	7.007	0.652	55.375	0.664	0.086	0.834	1.778	0.531	0.784	0.105	0.375	0.183	0.068	1.162
Zimbabwe	Zimbabwe	ZWE	Sub-Saharan Africa	3.204	0.061	3.323	3.084	109	2022	4.281	7.641	0.69	54.05	0.654	-0.046	0.766	1.778	0.758	0.881	0.069	0.363	0.112	0.117	0.905
Sierra Leone	Sierra Leone	SLE	Sub-Saharan Africa	3.138	0.082	3.299	2.976	130	2022	5.067	7.394	0.555	54.9	0.66	0.105	0.858	1.778	0.67	0.54	0.092	0.371	0.193	0.051	1.221
