Country name	country_short	country_code	area	Ladder score	Standard error of ladder score	upperwhisker	lowerwhisker	high_low_rank	high_low_year	high_low_var	Logged GDP per capita	Social support	Healthy life expectancy	Freedom to make life choices	Generosity	Perceptions of corruption	Ladder score in Dystopia	Explained by: Log GDP per capita	Explained by: Social support	Explained by: Healthy life expectancy	Explained by: Freedom to make life choices	Explained by: Generosity	Explained by: Perceptions of corruption	Dystopia + residual
Spain	Spain	ESP	Europe	6.436	0.042	6.519	6.354	17	2022	2.653	10.54	0.932	72.35	0.782	-0.066	0.711	1.778	1.798	1.491	0.567	0.533	0.101	0.157	1.789
Italy	Italy	ITA	Europe	6.405	0.054	6.511	6.298	15	2022	2.609	10.634	0.882	72.05	0.711	-0.074	0.842	1.778	1.832	1.365	0.559	0.438	0.097	0.063	2.052
Kosovo	Kosovo	KOS	Europe	6.368	0.06	6.485	6.25	99	2022	4.119	9.359	0.844	65.195	0.861	0.259	0.866	1.778	1.374	1.269	0.372	0.639	0.275	0.045	2.393
Chile	Chile	CHL	Americas	6.334	0.046	6.424	6.243	43	2022	3.238	10.114	0.889	70.3	0.792	-0.011	0.823	1.778	1.645	1.384	0.511	0.546	0.131	0.076	2.04
Mexico	Mexico	MEX	Americas	6.33	0.057	6.441	6.218	75	2022	3.686	9.85	0.804	65.8	0.856	-0.094	0.768	1.778	1.55	1.169	0.389	0.632	0.086	0.115	2.389
Malta	Malta	MLT	Europe	6.3	0.045	6.388	6.212	39	2022	3.145	10.661	0.923	71.6	0.886	0.119	0.729	1.778	1.841	1.468	0.547	0.671	0.2	0.143	1.429
Panama	Panama	PAN	Americas	6.265	0.081	6.424	6.105	113	2022	4.398	10.305	0.896	68.95	0.855	-0.133	0.878	1.778	1.714	1.402	0.475	0.63	0.065	0.036	1.943
Poland	Poland	POL	Europe	6.26	0.042	6.343	6.177	30	2022	2.857	10.453	0.925	69.049	0.765	-0.031	0.736	1.778	1.767	1.474	0.477	0.511	0.12	0.139	1.772
Nicaragua	Nicaragua	NIC	Americas	6.259	0.076	6.408	6.109	127	2022	4.787	8.618	0.853	65.65	0.877	0.021	0.625	1.778	1.109	1.292	0.385	0.66	0.148	0.218	2.448
Latvia	Latvia	LVA	Europe	6.213	0.042	6.295	6.131	26	2022	2.799	10.37	0.937	66.4	0.818	-0.056	0.83	1.778	1.737	1.505	0.405	0.58	0.107	0.071	1.808
Bahrain	Bahrain	BHR	Middle East and North Africa	6.173	0.1	6.369	5.977	91	2021	3.945	10.776	0.844	65.825	0.944	0.117	0.737	1.778	1.883	1.269	0.389	0.748	0.199	0.138	1.546
Guatemala	Guatemala	GTM	Americas	6.15	0.108	6.362	5.939	117	2022	4.432	9.116	0.812	62.9	0.856	-0.057	0.837	1.778	1.287	1.188	0.31	0.631	0.106	0.066	2.562
Kazakhstan	Kazakhstan	KAZ	Asia-Pacific	6.144	0.048	6.239	6.049	42	2022	3.229	10.166	0.931	65.802	0.853	0	0.721	1.778	1.664	1.491	0.389	0.628	0.136	0.149	1.688
Serbia	Serbia	SRB	Europe	6.144	0.079	6.299	5.988	87	2021	3.889	9.854	0.873	67.088	0.845	0.204	0.816	1.778	1.552	1.343	0.424	0.617	0.246	0.081	1.881
Cyprus	Cyprus	CYP	Europe	6.13	0.054	6.236	6.024	44	2022	3.272	10.611	0.826	72.802	0.724	-0.06	0.86	1.778	1.824	1.224	0.58	0.455	0.104	0.05	1.893
Japan	Japan	JPN	Asia-Pacific	6.129	0.042	6.211	6.047	40	2022	3.164	10.616	0.894	74.349	0.799	-0.237	0.64	1.778	1.825	1.396	0.622	0.556	0.009	0.207	1.513
Croatia	Croatia	HRV	Europe	6.125	0.057	6.237	6.013	56	2022	3.424	10.341	0.917	68.95	0.757	-0.093	0.925	1.778	1.727	1.455	0.475	0.5	0.087	0.003	1.88
Brazil	Brazil	BRA	Americas	6.125	0.065	6.252	5.997	88	2022	3.917	9.582	0.836	65.749	0.801	-0.009	0.738	1.778	1.454	1.25	0.387	0.558	0.131	0.137	2.205
El Salvador	El Salvador	SLV	Americas	6.122	0.069	6.257	5.986	106	2022	4.266	9.089	0.755	65.597	0.918	-0.108	0.62	1.778	1.278	1.044	0.383	0.713	0.079	0.222	2.403
Hungary	Hungary	HUN	Europe	6.041	0.055	6.149	5.933	49	2022	3.313	10.419	0.943	67.5	0.758	-0.059	0.839	1.778	1.754	1.519	0.435	0.501	0.105	0.065	1.663
Argentina	Argentina	ARG	Americas	6.024	0.063	6.147	5.9	65	2022	3.584	9.959	0.891	67.2	0.823	-0.089	0.814	1.778	1.59	1.388	0.427	0.587	0.088	0.082	1.861
Honduras	Honduras	HND	Americas	6.023	0.089	6.196	5.849	131	2022	5.102	8.635	0.766	64.063	0.843	0.097	0.843	1.778	1.115	1.072	0.341	0.613	0.189	0.062	2.631
Uzbekistan	Uzbekistan	UZB	Asia-Pacific	6.014	0.059	6.13	5.899	80	2022	3.801	8.948	0.875	65.301	0.938	0.23	0.638	1.778	1.227	1.347	0.375	0.74	0.26	0.208	1.856
Malaysia	Malaysia	MSY	Asia-Pacific	6.012	0.079	6.167	5.858	71	2021	3.676	10.169	0.799	65.662	0.877	0.16	0.758	1.778	1.665	1.155	0.385	0.659	0.222	0.122	1.804
Portugal	Portugal	PRT	Europe	5.968	0.055	6.076	5.86	53	2022	3.394	10.429	0.878	71.25	0.902	-0.196	0.878	1.778	1.758	1.356	0.537	0.693	0.031	0.037	1.556
South Korea	South Korea	KOR	Asia-Pacific	5.951	0.045	6.04	5.862	45	2022	3.274	10.693	0.812	73.65	0.717	-0.046	0.701	1.778	1.853	1.188	0.603	0.446	0.112	0.163	1.587
Greece	Greece	GRC	Europe	5.931	0.048	6.024	5.838	36	2022	3.046	10.288	0.835	71.15	0.568	-0.24	0.793	1.778	1.708	1.247	0.535	0.248	0.008	0.097	2.089
Mauritius	Mauritius	MUS	Asia-Pacific	5.902	0.057	6.013	5.791	61	2022	3.515	9.957	0.888	63.85	0.813	-0.028	0.775	1.778	1.589	1.382	0.336	0.574	0.121	0.11	1.79
Thailand	Thailand	THA	Asia-Pacific	5.843	0.064	5.969	5.717	69	2022	3.65	9.751	0.874	68.45	0.85	0.289	0.91	1.778	1.515	1.344	0.461	0.624	0.291	0.013	1.594
Mongolia	Mongolia	MNG	Asia-Pacific	5.84	0.046	5.93	5.75	38	2022	3.118	9.372	0.933	60.5	0.701	0.19	0.849	1.778	1.379	1.494	0.244	0.425	0.239	0.058	2.001
