Country	country_code	area	total_Average_MHQ_Score	total_pct_Distressed	total_pct_Struggling	total_pct_Enduring	total_pct_Managing	total_pct_Succeeding	total_pct_Thriving	total_Average_Cognition_Score	total_Average_Adaptability_et_Resilence_Score	total_Average_Drive_et_Motivation_Score	total_Average_Mood_et_Outlook_Score	total_Average_Social_Self_Score	total_Average_Mind-Body_Connection_Score	total_Sample_Size	f_Average_MHQ_Score	f_pct_Distressed	f_pct_Struggling	f_pct_Enduring	f_pct_Managing	f_pct_Succeeding	f_pct_Thriving	f_Average_Cognition_Score	f_Average_Adaptability_&_Resilence_Score	f_Average_Drive_&_Motivation_Score	f_Average_Mood_&_Outlook_Score	f_Average_Social_Self_Score	f_Average_Mind-Body_Connection_Score	f_Sample_Size	m_Average_MHQ_Score	m_pct_Distressed	m_pct_Struggling	m_pct_Enduring	m_pct_Managing	m_pct_Succeeding	m_pct_Thriving	m_Average_Cognition_Score	m_Average_Adaptability_&_Resilence_Score	m_Average_Drive_&_Motivation_Score	m_Average_Mood_&_Outlook_Score	m_Average_Social_Selm_Score	m_Average_Mind-Body_Connection_Score	m_Sample_Size
Republic of Moldova	MDA	Eastern Europe and Central Asia	73.77	1.20	18.59	13.11	24.76	33.63	8.70	91.14	98.62	89.54	69.56	69.48	77.16	384	73.81	2.28	15.30	16.25	26.28	30.75	9.14	89.40	103.43	88.30	69.64	72.70	72.37	278	73.73	0.00	22.30	9.58	23.05	36.88	8.20	93.10	93.22	90.94	69.46	65.85	82.55	106
Saudi Arabia	SAU	Middle East and North Africa	67.84	5.34	19.78	13.23	21.92	27.20	12.54	78.22	88.87	82.91	67.36	75.77	72.66	3615	63.18	4.74	21.07	15.38	23.36	26.70	8.76	75.18	88.96	74.91	61.28	74.82	60.01	1830	70.78	5.71	18.96	11.87	21.01	27.52	14.92	80.13	88.81	87.95	71.20	76.37	80.64	1785
Singapore	SGP	South-East Asia	75.83	3.40	18.84	12.07	20.63	31.84	13.22	86.73	94.71	85.11	74.89	70.72	85.81	1236	77.10	3.15	17.93	12.97	20.87	30.30	14.77	88.85	99.19	85.79	75.36	72.84	84.44	679	74.68	3.62	19.67	11.26	20.41	33.23	11.81	84.82	90.65	84.50	74.47	68.80	87.05	557
South Africa	ZAF	Sub-Saharan Africa	50.30	8.00	26.95	14.27	19.49	21.64	9.64	67.93	69.03	70.22	50.14	51.58	60.81	6778	44.33	9.16	28.35	15.14	19.04	20.42	7.89	63.72	67.49	63.27	43.38	48.33	49.08	4198	56.61	6.77	25.47	13.36	19.97	22.93	11.50	72.37	70.65	77.57	57.29	55.01	73.21	2580
Spain	ESP	Western Europe	62.81	5.43	22.07	14.18	21.40	25.76	11.16	75.08	82.11	74.90	61.91	65.57	70.66	11659	59.83	5.62	23.06	14.92	21.23	24.91	10.25	73.15	82.38	71.85	58.31	66.34	63.18	6700	65.97	5.23	21.03	13.40	21.58	26.65	12.12	77.11	81.81	78.13	65.70	64.76	78.55	4959
Sri Lanka	LKA	South Asia	88.63	2.18	12.24	12.29	21.96	33.10	18.23	96.98	106.08	100.94	87.15	87.47	96.90	2245	91.06	2.32	11.37	11.44	21.14	35.03	18.71	100.92	110.73	102.24	88.50	91.94	93.48	1240	85.63	2.00	13.31	13.34	22.98	30.72	17.65	92.11	100.32	99.34	85.48	81.94	101.12	1005
Sudan	SDN	Sub-Saharan Africa	63.97	5.35	18.92	15.12	24.72	25.84	10.05	75.66	80.41	73.03	62.97	72.06	66.41	325	63.57	6.08	18.75	15.05	21.46	29.06	9.60	74.15	81.08	70.38	63.48	77.52	60.99	214	64.39	4.59	19.10	15.19	28.13	22.46	10.53	77.23	79.70	75.82	62.45	66.34	72.09	111
Syria	SYR	Middle East and North Africa	64.27	6.52	19.77	14.88	21.81	26.30	10.72	78.24	88.68	79.25	61.09	70.05	71.11	224	63.61	5.03	21.71	16.98	19.86	27.44	8.99	76.59	88.73	76.06	60.05	75.37	65.51	122	64.94	8.05	17.79	12.74	23.80	25.14	12.49	79.93	88.64	82.50	62.15	64.63	76.81	102
Tajikistan	TJK	Eastern Europe and Central Asia	53.40	5.24	20.89	21.65	28.21	17.66	6.36	67.15	85.88	78.88	51.06	55.63	60.71	285	45.22	10.40	21.16	19.79	29.00	15.31	4.34	64.08	81.58	70.51	41.75	49.75	51.57	186	61.68	0.00	20.61	23.53	27.42	20.03	8.40	70.27	90.24	87.38	60.49	61.59	69.97	99
Tanzania	TZA	Sub-Saharan Africa	88.31	3.82	15.28	10.55	17.82	28.80	23.73	98.24	105.05	105.84	89.52	94.46	92.34	1982	79.81	4.87	17.49	10.68	19.06	29.54	18.36	93.16	104.34	99.66	78.82	87.04	80.17	707	97.11	2.74	13.00	10.41	16.53	28.03	29.31	103.51	105.79	112.25	100.61	102.15	104.96	1275
Trinidad and Tobago	TTO	Latin America and Caribbean	79.11	4.93	15.81	12.45	19.15	28.76	18.90	94.92	96.67	92.11	76.25	79.67	80.79	1821	78.74	5.08	16.56	13.37	16.06	29.81	19.11	94.73	99.41	88.44	74.85	82.19	76.58	1069	79.59	4.73	14.84	11.25	23.15	27.40	18.63	95.17	93.13	96.85	78.06	76.41	86.24	752
Tunisia	TUN	Middle East and North Africa	66.75	4.11	18.48	15.51	24.87	28.63	8.41	76.43	89.51	79.62	66.97	71.28	71.90	3421	63.62	4.15	19.80	15.53	25.61	27.61	7.30	73.06	89.82	75.06	63.95	71.13	64.88	1575	69.97	4.06	17.10	15.49	24.11	29.69	9.55	79.91	89.20	84.33	70.09	71.45	79.15	1846
Ukraine	UKR	Eastern Europe and Central Asia	60.13	4.50	20.41	14.38	29.97	24.18	6.57	76.05	81.68	70.86	58.25	61.57	58.93	2904	56.30	5.82	18.96	17.58	29.81	22.95	4.89	71.43	81.01	66.43	53.28	62.03	50.39	2241	64.80	2.89	22.17	10.48	30.16	25.69	8.61	81.67	82.50	76.24	64.30	61.01	69.32	663
United Arab Emirates	UAE	Middle East and North Africa	67.35	5.40	19.59	13.84	21.62	28.41	11.15	79.86	87.80	83.52	64.94	69.61	77.05	1637	62.11	5.37	21.51	15.42	21.78	26.52	9.40	75.08	91.13	75.35	58.46	70.83	62.42	807	69.29	5.41	18.87	13.25	21.56	29.11	11.80	81.64	86.56	86.56	67.35	69.16	82.48	830
United Kingdom	GBR	Western Europe	49.38	7.84	27.17	15.54	18.97	20.83	9.66	67.54	66.48	59.21	49.18	49.93	56.90	9163	46.60	8.66	27.04	15.76	19.83	20.21	8.50	64.96	66.23	53.74	45.54	51.47	47.91	4719	52.28	6.98	27.30	15.31	18.07	21.48	10.86	70.23	66.74	64.91	52.97	48.32	66.28	4444
United States	USA	North America	71.53	4.86	20.29	13.30	19.41	24.94	17.20	87.47	84.28	82.67	70.73	73.84	70.96	17364	70.48	4.78	20.33	13.74	20.05	24.56	16.54	86.23	84.77	79.55	69.09	76.63	64.45	9611	72.69	4.94	20.24	12.81	18.71	25.37	17.93	88.84	83.74	86.12	72.54	70.74	78.18	7753
Uruguay	URY	Latin America and Caribbean	80.84	3.45	16.92	10.66	20.51	31.16	17.32	94.71	97.56	95.23	79.28	82.03	83.75	3756	75.87	4.46	19.37	10.24	19.35	29.13	17.45	92.63	96.76	92.20	74.42	79.48	72.77	1976	86.35	2.32	14.19	11.12	21.79	33.40	17.17	97.02	98.44	98.58	84.68	84.86	95.93	1780
Uzbekistan	UZB	Eastern Europe and Central Asia	47.80	4.10	27.53	21.64	20.03	22.09	4.62	64.80	74.03	72.85	47.93	46.61	57.81	834	51.80	3.02	26.33	20.97	24.89	19.56	5.23	70.05	84.41	77.10	49.92	51.40	53.42	612	43.66	5.22	28.77	22.33	14.99	24.70	3.99	59.36	63.30	68.47	45.87	41.66	62.35	222
Venezuela	VEN	Latin America and Caribbean	83.03	3.96	15.71	11.55	18.60	30.90	19.29	95.35	104.11	99.74	80.46	84.27	89.34	16138	76.77	5.20	17.42	11.83	18.36	29.85	17.34	91.67	102.16	93.40	73.67	80.31	78.42	8423	89.72	2.64	13.87	11.24	18.85	32.03	21.37	99.29	106.20	106.54	87.73	88.51	101.05	7715
Yemen	YEM	Middle East and North Africa	58.61	4.50	23.03	16.30	23.50	24.74	7.93	67.13	80.41	73.69	61.23	67.45	64.59	8840	53.25	4.92	26.07	15.51	23.61	23.67	6.21	63.56	81.36	66.98	54.75	63.31	56.59	3708	64.00	4.07	19.97	17.10	23.39	25.82	9.65	70.73	79.46	80.42	67.74	71.61	72.64	5132
Zimbabwe	ZWE	Sub-Saharan Africa	74.10	2.67	18.21	13.53	24.34	27.73	13.52	87.50	91.76	88.11	70.66	76.15	83.40	1843	68.55	4.07	19.43	12.65	25.52	26.91	11.41	85.24	92.12	81.23	62.91	72.00	74.10	903	80.77	0.97	16.73	14.58	22.93	28.72	16.07	90.22	91.31	96.38	79.98	81.14	94.59	940
