Country 	AC 	FC 	WFC					Country name 	2010	2011	2012	2013
Ireland 	358	137.6	125.31		Czech Republic 	10521600		France 	2646837111795	2862680142625	2686722589270	2806427978234
Israel 	1025	546.69	492.93		Democratic Republic of the Congo 	71246000		Gabon 	14569527125	18796191833	17843815459	19343506599
Italy 	3084	1415.47	1054.52		Denmark 	5655750		Gambia, The 	951827285	904256028	912427787	903497026
Ivory Coast 	1	0.13	0.13		Djibouti 	900000		Georgia 	11638536834	14434619982	15846474596	16140047012
Jamaica 	2	0.26	0.26		Dominica 	71293		Germany 	3412008772737	3752109943534	3533242461467	3730260571357
Japan 	5287	3692.46	3447.51		Dominican Republic 	10378267		Ghana 	32174839713	39564771637	41740926505	48137027487
Jordan 	6	0.54	0.54		East Timor 	1212107		Greece 	299598056253	288803062128	249525371463	242230333769
Kazakhstan 	8	2.06	2.06		Ecuador 	15903500		Grenada 	771015875	778648653	799882134	835581689
Kenya 	27	5.63	5.63		Egypt 	87786100		Guatemala 	41337958252	47654841113	50388454861	53796709475
Kuwait 	9	3.08	3.08		El Salvador 	6401240		Guinea 	4735956476	5067360041	5651088170	6144131903
Kyrgyzstan 	2	0.33	0.33		Equatorial Guinea 	1430000		Guinea-Bissau 	847491367	1103652041	958857944	960778479
Latvia 	10	3.01	2.45		Eritrea 	6738000		Guyana 	2259288396	2576602497	2851154076	2990128821
Lebanon 	18	3.68	3.19		Estonia 	1315819		Haiti 	6622541529	7516834160	7890216508	8459326660
Libya 	3	0.26	0.26		Ethiopia 	90076012		Honduras 	15839344592	17710325578	18564264545	18550026035
Liechtenstein 	1	0.08	0.08		Falkland Islands (UK) 	3000		Hong Kong SAR, China 	228637697575	248514003083	262630086122	274012815224
Lithuania 	50	21.55	14.22		Faroe Islands 	48605		Hungary 	129585601616	139439620999	126824840352	133423898612
Luxembourg 	28	8.72	8.72		Federated States of Micronesia 	101351		Iceland 	13261035517	14665793477	14182614909	15330057867
Macedonia 	5	1.3	0.9		Fiji 	859178		India 	1708458876830	1880100141185	1858744737180	1876797199133
Madagascar 	4	0.76	0.76		Finland 	5472421		Indonesia 	709190823320	845931645339	876719347689	868345652475
Malawi 	3	0.16	0.16		France[10] 	66100000		Iran, Islamic Rep. 	422567967405	528426099489	502729273638	368904351627
Malaysia 	58	14.99	14.72		French Guiana (France) 	239648		Iraq 	138516722650	185749664444	216044306775	229327284734
Mali 	2	0.19	0.19		French Polynesia (France) 	268270		Ireland 	218435251789	237771734260	221966026814	232077419240
Malta 	7	2.52	1.42		Gabon 	1751000		Israel 	232907996791	258417551705	257206359086	290550599943
Mauritius 	2	0.3	0.3		Georgia[16] 	4490500		Italy 	2126620402889	2278230390030	2091760740477	2149484516712
Mexico 	360	133.28	80.29		Germany 	80783000		Jamaica 	13230844040	14433926129	14794802081	14362262585
Moldova 	15	3.24	3.24		Ghana 	27043093		Japan 	5495387182996	5905630870455	5954476603962	4919563108373
Monaco 	1	0.11	0.11		Gibraltar (UK) 	30001		Jordan 	26425379437	28840263380	31015239545	33678500148
Mongolia 	6	1.47	1.47		Greece 	10992589		Kazakhstan 	148047348241	188048960311	203517198089	231876282134
Montenegro 	2	0.24	0.24		Greenland 	56295		Kenya 	40000112728	41954956603	50334698278	55243056201
Morocco 	22	3	2.99		Grenada 	103328		Kiribati 	150431114	172253739	174984469	168951535
Mozambique 	1	0.11	0.11		Guadeloupe (France) 	405739		Korea, Rep. 	1094499350178	1202463655510	1222807167489	1304553972502
Myanmar 	2	0.46	0.46		Guam (USA) 	159358		Kosovo 	5830320265	6692502502	6499938584	7071959241
Namibia 	3	0.58	0.58		Guatemala 	15806675		Kuwait 	115428557470	154032229428	174044699037	175830502498
Nepal 	7	1.47	1.47		Guernsey (UK) 	63085		Kyrgyz Republic 	4794357795	6197766119	6605139933	7226303261
Netherlands 	2216	907.55	754.45		Guinea 	10628972		Lao PDR 	7181441152	8254088067	9359185244	11242526454
New Zealand 	285	106.37	98.85		Guinea-Bissau 	1788000		Latvia 	24009680460	28480338368	28372577697	30956691628
Niger 	3	0.5	0.5		Guyana 	746900		Lebanon 	38009950249	40078938640	43205095854	44352418120
Nigeria 	10	1.92	1.48		Haiti 	10911819		Lesotho 	2175685681	2487352968	2328196275	2334989648
Norway 	418	159.25	146.64		Honduras 	8725111		Liberia 	1292696476	1537753885	1733828405	1950960138
Oman 	8	2.13	2		Hong Kong (China) 	7234800		Libya 	74755288917	34699395524	81873662519	74199528672
Pakistan 	52	19.21	15.5		Hungary 	9879000		Lithuania 	36709511568	43083067994	42343559196	45931968474
Palestine 	5	0.62	0.62		Iceland 	328170		Luxembourg 	52143650383	58956127431	56292381076	60130847624
Panama 	37	8.32	8.32		India 	1264940000		Macao SAR, China 	28359706123	36634742799	42981497744	51753094764
Papua New Guinea 	7	1.24	1.24		Indonesia 	255461700		Macedonia, FYR 	9338674078	10395222334	9576482628	10195404131
Peru 	33	5.75	5.75		Iran 	78018000		Madagascar 	8729936136	9892702358	9919780222	10613494031
Philippines 	19	2.69	2.65		Iraq 	36004552		Malawi 	5398616985	5627898037	4240492849	3705386790
Poland 	711	298.65	230.8		Ireland 	4609600		Malaysia 	247533525518	289548374437	305263811733	313159097401
Portugal 	416	158.89	131.33		Isle of Man (UK) 	84497		Maldives 	2134104884	2162990126	2113179304	2299843167
Qatar 	33	6.9	5.92		Israel 	8281900		Mali 	9422267260	10647545670	10340794110	10942727310
Romania 	81	23.15	20.4		Italy 	60782027		Malta 	8163841060	9302057270	8863076923	9642326075
Russia 	1161	459.74	378.72		Ivory Coast 	23821000		Marshall Islands 	163917000	172956700	184358700	190914600
Saudi Arabia 	358	76.78	72.75		Jamaica 	2717991		Mauritania 	3526946757	4136083148	3958702640	4158182904
Senegal 	4	0.71	0.71		Japan 	127070000		Mauritius 	9718233911	11252405860	11442096506	11929250814
Serbia 	56	24.86	18.04		Jersey (UK) 	99000		Mexico 	1051627949327	1170085556896	1186460890130	1260914660977
Seychelles 	1	0	0		Jordan 	6675090		Micronesia, Fed. Sts. 	294117200	310287500	326161000	316245700
Sierra Leone 	1	0.47	0.47		Kazakhstan 	17377800		Moldova 	5811604052	7016162818	7284686576	7969618966
Singapore 	912	540.15	539.19		Kenya 	46749000		Mongolia 	6200357070	8761426371	10321968595	11516409581
Slovakia 	62	16.64	10.7		Kiribati 	106461		Montenegro 	4114881347	4501753898	4045813953	4416083090
Slovenia 	115	44	41.99		Kosovo[18] 	1816891		Morocco 	90770671432	99211339029	95903690326	103835702814
South Africa 	425	122.95	83.13		Kuwait 	3268431		Mozambique 	10165353591	13244880035	14952946846	15630302814
South Korea 	1983	1246.12	1183.8		Kyrgyzstan 	5776570		Namibia 	11281996426	12412389467	13037393423	13113069777
Spain 	2968	1417.78	1156.59		Laos 	6802000		Nepal 	15994094607	18850351853	19206800719	19294348174
Sri Lanka 	8	1.07	1.07		Latvia 	1989500		Netherlands 	836389937229	893757287202	823139235421	853539351964
Sudan 	3	0.33	0.33		Lebanon 	4104000		New Zealand 	143466743661	163841244615	171461397176	185787824483
Swaziland 	1	0.2	0.2		Lesotho 	2120000		Nicaragua 	8938209651	9898576241	10644947615	11255608410
Sweden 	1423	579.05	529.18		Liberia 	4503000		Niger 	5718589550	6409169698	6611341029	7407418428
Switzerland 	2643	1323.1	1240.73		Libya 	6317000		Nigeria 	369062403182	411743801712	462979245902	521803314654
Syria 	3	0.32	0.32		Liechtenstein 	37132		Norway 	420945705225	490806911071	500029909755	512580425532
Taiwan 	931	563.54	522.81		Lithuania 	2923360		Oman 	58641352878	69521977153	77497269805	79655917417
Tajikistan 	2	0.13	0.03		Luxembourg 	549700		Pakistan 	177165635077	213587413184	224383620830	232286781111
Tanzania 	11	1.41	1.41		Macau (China) 	631000		Palau 	197558700	217377500	232478600	247043400
Thailand 	94	27.7	25		Macedonia 	2065769		Panama 	28814100000	33270500000	37956200000	42648100000
Tonga 	1	0.17	0.17		Madagascar 	21842167		Papua New Guinea 	9480047959	12393604089	15653921367	15289374025
Trinidad and Tobago 	2	0.38	0.38		Malawi 	16310431		Paraguay 	20030529733	25071193102	24611040343	29009411738
Tunisia 	15	4.18	2.78		Malaysia 	30451600		Peru 	148522810972	170564249005	192628494178	202349846974
Turkey 	232	90.1	71.23		Maldives 	341256		Philippines 	199589447424	224142872191	250240023744	272066554886
Uganda 	12	1.73	1.73		Mali 	16259000		Poland 	476687891752	524362764952	496205742361	525865974815
Ukraine 	185	49.79	37.47		Malta 	416055		Portugal 	238303443425	244895101712	218000200300	227323728007
United Arab Emirates 	44	10.73	9.61		Marshall Islands 	56086		Puerto Rico 	98381268000	100351670000	101080738000	103134778000
United Kingdom (UK) 	7763	3930.18	3378.98		Martinique (France) 	386486		Qatar 	125122249141	169804665436	190289829681	203235158978
United States of America (USA) 	28418	21374.03	19452.06		Mauritania 	3545620		Romania 	164792252746	182610666616	169396055591	189638162013
Uruguay 	18	8.19	8.03		Mauritius 	1261208		Russian Federation 	1524916112079	1904793021649	2017470930421	2096777030571
Uzbekistan 	10	1.45	0.89		Mayotte (France) 	212645		Rwanda 	5698548923	6406727020	7219656634	7521261791
Vatican City State (Holy See) 	11	0.51	0.2		Mexico 	121005815		Samoa 	643059403	737053939	801803524	801916058
Venezuela 	26	4.48	2.24		Moldova[17] 	3557600		Sao Tome and Principe 	201037917	248286778	263328450	310684636
Vietnam 	32	9.15	8.74		Monaco 	36950		Saudi Arabia 	526811466667	669506666667	733955733333	748449600000
Virgin Islands (British) 	4	0.29	0.06		Mongolia 	3000000		Senegal 	12932427724	14440676498	14045680427	14791699009
Zambia 	2	0.12	0.12		Montenegro 	620029		Serbia 	39368633038	46462547041	40791444603	45519650911
Zimbabwe 	2	0.31	0.31		Montserrat (UK) 	4922		Seychelles 	973355738	1059593023	1032199341	1443345214
					Morocco 	33485300		Sierra Leone 	2578159496	2925391430	3529350504	4136280752
					Mozambique 	25727911		Singapore 	236420337243	274065043106	286908399902	297941261088
					Namibia 	2113077		Slovak Republic 	89011919205	97525386433	92746685083	97707323420
					Nauru 	10084		Slovenia 	47972988742	51248860578	46262305281	47987303638
					Nepal 	28037904		Solomon Islands 	681587105	868574141	989911516	1096396927
					Netherlands 	16883900		South Africa 	365208432989	403894316555	382337636448	350630133297
					New Caledonia (France) 	268767		South Sudan 	15728045817	18831595688	10368813559	11804406780
					New Zealand 	4552650		Spain 	1431587612302	1494598106576	1355732589969	1393040177014
					Nicaragua 	6134270		Sri Lanka 	49567521670	59178013928	59393056426	67182015336
					Niger 	19268000		St. Kitts and Nevis 	692457407	728050630	731919889	765870667
					Nigeria 	183523432		St. Lucia 	1244297407	1289531852	1302666704	1335764111
					Niue 	1613		St. Vincent and the Grenadines 	681225963	676406963	693304481	709358185
					Norfolk Island (Australia) 	2302		Sudan 	65632081240	67320779804	63152209705	66565889417
					North Korea 	25155000		Suriname 	4368398048	4423194614	5013030303	5298787879
					Northern Cyprus[22] 	294906		Swaziland 	3891563478	4145772237	4049589166	3791304348
					Northern Mariana Islands (USA) 	53883		Sweden 	488377689565	563109663291	543880647757	579679985303
					Norway 	5156450		Switzerland 	581208562423	696278717728	666100606813	685434185074
					Oman 	4088067		Tajikistan 	5642178580	6522732203	7633049792	8508103456
					Pakistan 	188602000		Tanzania 	22915004589	23874165024	28248632096	33225037490
					Palau 	20901		Thailand 	318907930076	345672232116	365965815820	387252164291
					Palestine 	4550368		Togo 	3172945506	3756023048	3915754216	4338575824
					Panama 	3713312		Tonga 	369212477	423038017	471575497	466259084
					Papua New Guinea 	7398500		Trinidad and Tobago 	20758191858	23676348287	23436342520	24640839008
					Paraguay 	6893727		Tunisia 	44426016487	45950845291	45238619630	46993598818
					Peru 	31151643		Turkey 	731168051903	774754155284	788863301670	822135183160
					Philippines 	100801400		Turkmenistan 	22148070175	29233333333	35164210526	41850877193
					Pitcairn Islands (UK) 	56		Tuvalu 	31824701	39313509	39875708	38322360
					Poland 	38496000		Uganda 	16030996179	15493320082	20040545045	21493615478
					Portugal 	10477800		Ukraine 	136419300368	163421733019	176603428857	177430609756
					Puerto Rico (USA) 	3548397		United Arab Emirates 	286049293399	347454060299	372313965707	402340106796
					Qatar 	2269672		United Kingdom 	2407933767805	2591846114476	2614946487603	2678454886797
					Republic of the Congo 	4671000		United States 	14964400000000	15517900000000	16163200000000	16768100000000
					Réunion (France) 	840974		Uruguay 	38881102100	47236710628	50004354647	55707944622
					Romania 	19942642		Uzbekistan 	39332770929	45324319955	51183443225	56795656325
					Russia[9] 	146300000		Vanuatu 	700804286	792149701	781702874	828237181
					Rwanda 	10996891		Venezuela, RB 	393801556872	316482176579	381286223859	438283564815
					Saint Barthélemy (France) 	9131		Vietnam 	115931749905	135539487317	155820001920	171390003299
					Saint Helena, Ascension and Tristan da Cunha (UK) 	4000		Yemen, Rep. 	31743751169	29207296703	31992801303	35954502304
					Saint Kitts and Nevis 	55000		Zambia 	20265396326	23731894786	24939543374	26820870559
					Saint Lucia 	185000		Zimbabwe 	9456808200	10956226600	12472416700	13490000000
					Saint Pierre and Miquelon (France) 	6069						
					Saint Vincent and the Grenadines 	109000						
					Samoa 	187820						
					San Marino 	32777						
					São Tomé and Príncipe 	187356						
					Saudi Arabia 	31521418						
					Senegal 	13508715						
					Serbia[15] 	7146759						
					Seychelles 	89949						
					Sierra Leone 	6319000						
					Singapore 	5469700						
					Sint Maarten 	37429						
					Slovakia 	5415949						
					Slovenia 	2065197						
					Solomon Islands 	581344						
					Somalia[14] 	11123000						
					South Africa 	54002000						
					South Korea 	50423955						
					South Ossetia[24] 	51547						
					South Sudan 	11892934						
					Spain 	46507760						
					Sri Lanka 	20359439						
					Sudan 	38435252						
					Suriname 	534189						
					Svalbard and Jan Mayen (Norway) 	2562						
					Swaziland 	1106189						
					Sweden 	9737521						
					Switzerland 	8211700						
					Syria 	22265000						
					Taiwan[12] 	23424615						
					Tajikistan 	8161000						
					Tanzania 	47421786						
					Thailand 	64871000						
					The Bahamas 	368390						
					The Gambia 	1882450						
					Togo 	7171000						
					Tokelau (NZ) 	1411						
					Tonga 	103252						
					Transnistria[21] 	505153						
					Trinidad and Tobago 	1328019						
					Tunisia 	10982754						
					Turkey 	76667864						
					Turkmenistan 	5888000						
					Turks and Caicos Islands (UK) 	31458						
					Tuvalu 	11323						
					Uganda 	34856813						
					Ukraine[11] 	42965105						
					United Arab Emirates 	9577000						
					United Kingdom 	64105654						
					United States 	320126000						
					United States Virgin Islands (USA) 	106405						
					Uruguay 	3404189						
					Uzbekistan 	30492800						
					Vanuatu 	264652						
					Vatican City 	839						
					Venezuela 	30620404						
					Vietnam 	90730000						
					Wallis and Futuna (France) 	13135						
					Western Sahara[20] 	604000						
					Yemen 	25956000						
					Zambia 	15473905						
					Zimbabwe 	13061239						
