Score	CAR	RI	SE	ST-CHE	ST-ECO	ST-ENG	ST-ENV	ST-LIF	ST-MAT	ST-PHY	ST-SOC	GF-CHE	GF-ECO	GF-ENG	GF-ENV	GF-LIF	GF-MAT	GF-PHY	GF-SOC
100	0.23	0.31	0.00	0.00	0.60	0.21	0.35	0.29	0.00	0.11	0.23	0.00	0.00	0.00	0.00	0.68	0.00	0.00	0.63
99	0.45	1.24	0.00	0.38	1.19	0.74	0.82	0.80	0.55	0.11	0.75	1.72	0.00	1.14	1.68	2.03	0.00	0.00	1.27
98	1.82	3.40	0.00	1.13	2.38	1.47	1.52	1.83	1.10	0.67	1.95	1.72	0.00	1.14	3.36	3.38	0.00	0.00	2.85
97	2.95	4.95	2.04	2.36	2.98	2.52	2.57	3.19	1.10	1.57	3.68	3.45	0.00	1.14	4.20	4.73	0.00	0.00	5.38
96	4.77	8.66	2.55	4.52	4.17	4.63	4.56	5.02	2.21	3.25	5.34	5.17	0.00	4.55	6.72	6.08	0.00	1.35	7.28
95	6.82	12.36	5.10	6.50	4.76	6.52	7.83	7.59	2.76	5.61	7.41	8.62	0.00	5.68	7.56	10.81	0.00	4.05	10.44
94	9.09	17.31	6.12	8.67	6.55	8.52	11.45	10.33	4.97	7.29	10.06	17.24	0.00	10.23	12.61	16.22	20.00	4.05	13.92
93	11.59	20.56	7.14	11.88	10.12	11.04	14.60	12.89	6.63	9.87	13.16	18.97	0.00	10.23	15.97	20.27	30.00	10.81	17.72
92	13.86	24.11	7.65	15.08	13.10	15.04	16.94	16.26	9.39	12.11	15.98	25.86	18.18	13.64	19.33	21.62	30.00	10.81	19.94
91	16.59	26.58	10.71	18.85	14.88	19.03	20.68	19.68	14.36	15.13	17.87	32.76	18.18	19.32	26.89	25.00	30.00	13.51	22.15
90	18.86	28.90	12.24	22.34	17.26	21.35	24.65	22.88	17.13	18.50	20.11	39.66	18.18	23.86	27.73	25.00	40.00	16.22	25.95
89	20.91	30.91	14.80	25.16	19.64	25.24	27.45	25.84	19.34	21.75	22.01	39.66	36.36	29.55	29.41	28.38	40.00	20.27	29.11
88	23.86	34.00	16.84	29.03	21.43	28.29	31.19	28.75	25.41	26.01	24.89	43.10	36.36	30.68	30.25	32.43	40.00	22.97	31.65
87	25.45	38.33	18.88	32.42	24.40	31.02	34.23	31.83	29.28	29.60	27.01	43.10	36.36	34.09	31.93	37.16	50.00	22.97	33.54
86	28.64	41.73	19.90	36.48	24.40	33.65	37.38	35.48	32.60	33.74	30.11	43.10	36.36	38.64	32.77	39.86	50.00	29.73	38.29
85	30.68	44.82	21.94	41.19	25.60	36.17	41.00	38.45	39.78	37.00	33.33	44.83	45.45	38.64	38.66	43.92	50.00	37.84	41.46
84	34.09	48.07	22.96	44.30	29.17	40.06	43.46	41.36	44.20	40.70	35.63	50.00	54.55	45.45	44.54	47.97	50.00	43.24	43.99
83	37.50	51.78	25.51	47.88	34.52	42.69	46.14	45.35	47.51	43.72	38.10	56.90	54.55	46.59	49.58	50.00	50.00	44.59	46.52
82	40.23	55.02	27.55	51.46	36.90	45.95	49.18	49.06	49.17	47.09	41.15	60.34	54.55	47.73	54.62	52.03	60.00	47.30	48.42
81	42.73	57.34	29.59	54.76	38.69	48.90	53.86	52.37	51.93	51.46	44.14	63.79	54.55	50.00	60.50	54.05	60.00	54.05	52.85
80	45.68	60.74	32.65	56.93	41.07	51.52	56.43	56.19	56.35	54.60	47.36	67.24	54.55	53.41	65.55	58.11	70.00	56.76	56.33
79	50.00	64.45	34.18	59.94	44.05	54.36	59.23	59.33	57.46	59.08	50.29	70.69	54.55	55.68	68.07	62.16	70.00	58.11	59.81
78	53.18	70.02	36.73	62.58	45.24	57.52	61.68	62.46	60.77	63.12	53.16	74.14	63.64	59.09	72.27	64.86	70.00	60.81	62.03
77	55.91	72.33	39.80	65.50	47.02	59.62	64.02	65.54	62.98	66.59	55.75	74.14	72.73	61.36	74.79	66.22	70.00	62.16	63.29
76	58.64	74.50	42.35	68.43	50.60	63.09	66.47	67.83	64.64	68.50	57.18	74.14	72.73	65.91	74.79	68.24	70.00	63.51	65.51
75	61.59	76.20	45.41	70.50	55.36	66.04	69.98	69.99	66.30	71.41	59.48	74.14	81.82	71.59	78.15	70.95	70.00	68.92	68.99
74	63.86	78.83	48.98	73.14	56.55	68.35	72.43	72.96	67.96	73.77	61.38	75.86	81.82	73.86	79.83	72.97	70.00	70.27	70.89
73	66.14	80.68	52.04	75.12	57.74	70.35	75.12	74.96	69.61	75.56	63.62	77.59	81.82	73.86	84.87	75.68	70.00	75.68	72.15
72	67.73	82.38	55.61	76.72	58.93	71.50	77.22	76.10	71.82	78.81	65.92	79.31	81.82	75.00	84.87	77.70	70.00	77.03	74.68
71	69.55	83.46	59.18	79.08	61.31	74.03	78.86	77.98	74.03	80.38	68.33	84.48	81.82	76.14	84.87	78.38	70.00	79.73	75.32
70	71.36	84.70	62.76	80.77	61.90	75.81	81.07	79.35	75.69	82.51	70.57	87.93	90.91	77.27	86.55	79.05	80.00	81.08	77.22
