Score	CAR	RI	SE	ST-CHE	ST-ECO	ST-ENG	ST-ENV	ST-LIF	ST-MAT	ST-PHY	ST-SOC	GF-CHE	GF-ECO	GF-ENG	GF-ENV	GF-LIF	GF-MAT	GF-PHY	GF-SOC
100	0.00	0.14	0.43	0.16	0.57	0.25	0.29	0.41	0.00	0.00	0.29	0.00	0.00	1.83	0.00	0.00	0.00	0.00	0.25
99	0.16	1.13	1.30	0.24	1.14	0.76	1.05	0.98	0.00	0.30	0.95	1.61	6.25	1.83	1.39	2.19	0.00	0.00	0.25
98	1.11	3.68	2.61	1.46	4.00	1.68	2.09	3.47	1.55	1.51	2.85	3.23	12.50	6.42	2.08	5.11	0.00	2.82	1.77
97	2.53	5.09	3.04	2.93	6.86	2.95	4.75	5.70	2.06	2.52	3.90	4.84	12.50	7.34	5.56	8.03	0.00	8.45	2.78
96	4.43	8.06	6.52	4.55	9.14	5.64	6.37	8.14	5.67	3.93	5.94	8.06	12.50	9.17	10.42	8.76	8.33	8.45	5.05
95	6.01	12.31	8.70	7.56	13.14	9.60	8.94	11.30	7.73	5.64	8.12	8.06	18.75	11.93	13.89	8.76	16.67	11.27	8.59
94	7.91	15.84	10.43	9.76	13.71	12.37	11.31	14.46	10.82	7.75	11.16	11.29	18.75	14.68	15.97	9.49	16.67	12.68	12.12
93	9.81	18.10	13.04	12.44	14.86	15.07	14.92	17.68	14.43	11.18	13.78	12.90	25.00	21.10	18.06	13.14	25.00	18.31	14.39
92	13.13	21.78	15.65	15.12	18.86	17.76	18.54	19.85	19.07	14.70	16.25	16.13	25.00	26.61	20.83	15.33	25.00	26.76	16.92
91	16.61	26.03	18.26	18.94	20.57	21.97	22.24	22.50	19.59	17.42	19.57	20.97	25.00	31.19	25.00	21.17	25.00	29.58	21.21
90	18.83	30.27	20.87	22.85	22.86	25.59	25.67	25.51	21.65	20.44	22.33	22.58	31.25	37.61	28.47	27.01	25.00	30.99	24.75
89	22.15	33.95	21.30	25.85	27.43	28.96	29.75	28.82	26.29	24.17	25.46	30.65	31.25	40.37	31.25	33.58	33.33	38.03	26.77
88	24.05	39.32	24.78	30.33	29.14	32.07	32.70	31.73	31.44	28.70	28.36	32.26	31.25	43.12	36.11	37.96	50.00	40.85	29.55
87	26.42	43.00	26.96	33.74	30.86	35.52	35.08	35.10	33.51	32.73	30.40	38.71	37.50	47.71	40.97	40.88	50.00	45.07	32.58
86	29.43	47.52	28.70	37.32	32.00	38.05	38.21	38.31	37.63	38.07	33.06	46.77	37.50	47.71	43.75	45.26	50.00	49.30	35.10
85	31.65	51.06	30.87	40.16	34.29	41.33	41.06	41.01	40.72	42.30	35.63	50.00	37.50	49.54	51.39	48.18	50.00	50.70	38.64
84	34.49	54.88	33.91	43.82	36.57	44.53	46.20	44.69	46.39	45.12	38.24	54.84	37.50	53.21	53.47	48.91	50.00	53.52	41.16
83	36.39	57.14	36.09	46.50	37.14	46.97	50.29	49.20	48.97	49.75	41.09	58.06	43.75	55.05	56.94	49.64	50.00	57.75	42.68
82	39.87	60.68	39.57	50.89	39.43	50.17	53.71	52.20	52.06	52.87	44.23	62.90	56.25	55.96	63.19	51.82	58.33	59.15	44.95
81	42.56	63.51	43.91	55.04	40.57	52.53	56.46	55.05	60.31	55.99	46.51	66.13	56.25	58.72	65.97	57.66	66.67	61.97	48.48
80	44.94	66.34	47.83	58.54	42.29	56.06	60.27	57.80	61.86	59.52	49.12	70.97	56.25	61.47	68.06	62.04	66.67	63.38	51.26
79	48.10	69.17	51.74	61.54	44.57	58.25	63.31	60.86	65.46	63.34	51.59	74.19	56.25	65.14	68.75	65.69	66.67	64.79	53.28
78	50.63	70.86	56.09	64.63	50.86	60.69	65.49	63.56	68.04	65.76	54.25	79.03	56.25	66.97	70.83	68.61	66.67	71.83	55.56
77	53.48	73.27	57.83	67.40	52.57	62.79	67.59	66.51	69.07	67.98	57.01	83.87	56.25	68.81	75.00	70.80	75.00	74.65	57.83
76	56.65	76.10	60.43	70.16	54.29	65.32	70.06	69.26	71.13	71.20	59.57	87.10	56.25	70.64	77.78	72.99	75.00	80.28	60.10
75	59.34	77.37	63.04	72.44	56.00	67.42	71.58	71.59	73.20	75.23	62.14	88.71	56.25	75.23	80.56	73.72	75.00	80.28	62.88
74	61.55	78.78	64.78	74.07	58.86	69.78	74.05	73.77	74.74	77.14	63.71	90.32	56.25	77.06	82.64	75.91	83.33	81.69	64.65
73	63.29	81.47	68.26	76.02	60.00	71.30	75.95	75.48	77.84	79.15	65.84	91.94	62.50	79.82	83.33	76.64	83.33	83.10	67.17
72	65.82	82.89	68.70	78.70	63.43	73.06	77.66	77.66	78.87	79.96	67.51	91.94	68.75	79.82	83.33	78.83	91.67	83.10	69.95
71	67.88	83.59	70.87	80.73	65.14	74.58	79.75	79.52	79.90	81.77	69.83	93.55	75.00	82.57	84.72	78.83	91.67	84.51	71.97
70	69.94	85.01	72.61	82.60	66.86	76.01	80.99	81.44	82.47	84.79	71.59	93.55	75.00	84.40	85.42	81.02	91.67	85.92	72.73
