"","x"
"973","Mexico:4"
"974","Mexico:Isla Maria Madre"
"975","Mexico:Cerralvo Island"
"976","Mexico:Isla de Santa Margarita"
"977","Mexico:San Jose Island"
"978","Mexico:Isla Magdelena"
"979","Mexico:Carmen Island"
"980","Mexico:Isla Cedros"
"981","Mexico:Guadalupe Island"
"982","Mexico:Tiburon Island"
"983","Mexico:Angeleda la Guarda Island"
"984","Mexico:Isla Montague"
"985","Mexico"
"986","Marshall Islands:1"
"987","Marshall Islands:2"
"988","Marshall Islands:3"
"989","Marshall Islands:Ailinglaplap"
"990","Marshall Islands:Rongelap Atoll"
"991","Macedonia"
"992","Mali"
"993","Malta"
"994","Malta:Gozo"
"995","Myanmar:Zadetkyi Kyun"
"996","Myanmar:Lanbi Kyun"
"997","Myanmar:Kau-Ye Kyun"
"998","Myanmar:Letsok-Aw Kyun"
"999","Myanmar:Kanmaw Kyun"
"1000","Myanmar:Bentinck Island"
"1001","Myanmar:Saganthit Kyun"
"1002","Myanmar:Daung Kyun"
"1003","Myanmar:Thayawthadangyi Kyun"
"1004","Myanmar:Kadan Kyun"
"1005","Myanmar:Mali Kyun"
"1006","Myanmar:12"
"1007","Myanmar:13"
"1008","Myanmar:Bilugyun Island"
"1009","Myanmar:Cheduba Island"
"1010","Myanmar:16"
"1011","Myanmar:17"
"1012","Myanmar:Boronga Island"
"1013","Myanmar"
"1014","Montenegro"
"1015","Mongolia"
"1016","Northern Mariana Islands:Rota"
"1017","Northern Mariana Islands:Tinian"
"1018","Northern Mariana Islands:Saipan"
"1019","Northern Mariana Islands:Anatahan"
"1020","Northern Mariana Islands:Shomushon"
"1021","Northern Mariana Islands:Agrihan"
"1022","Mozambique"
"1023","Mozambique:hole1"
"1024","Mozambique:hole2"
"1025","Mauritania:Ile Tidra"
"1026","Mauritania"
"1027","Montserrat"
"1028","Mauritius"
"1029","Malawi:Likoma Island"
"1030","Malawi:Chizumulu Island"
"1031","Malawi:3"
"1032","Malaysia:Tanjong Sirik"
"1033","Malaysia:Tioman"
"1034","Malaysia:3"
"1035","Malaysia:Sabatik"
"1036","Malaysia:Pinang"
"1037","Malaysia:Langkawi"
"1038","Malaysia:Malay Penninsula"
"1039","Malaysia:Sarawak"
"1040","Malaysia:Banggi"
"1041","Namibia"
"1042","New Caledonia:Ile Koutoumo"
"1043","New Caledonia:Ile Mare"
"1044","New Caledonia:Ile Lifou"
"1045","New Caledonia:Ile Ouvea"
"1046","New Caledonia:Grand Recif de Oatope"
"1047","New Caledonia:6"
"1048","Niger"
"1049","Norfolk Island"
"1050","Nigeria:1"
"1051","Nigeria"
"1052","Nicaragua"
"1053","Niue"
"1054","Bonaire"
"1055","Sint Eustatius"
"1056","Saba"
"1057","Netherlands:South"
"1058","Netherlands:Schouwen-Duiveland"
"1059","Netherlands:Texel"
"1060","Netherlands:Vlieland"
"1061","Netherlands"
"1062","Netherlands:Terschelling"
"1063","Netherlands:Ameland"
"1064","Netherlands:Schiermonnikoog"
"1065","Germany:Borkum"
"1066","Norway:1"
"1067","Norway:2"
"1068","Norway:Smola"
"1069","Norway:Froya"
"1070","Norway:5"
"1071","Norway:6"
"1072","Norway:7"
"1073","Norway:8"
"1074","Norway:Moskenesoya"
"1075","Norway:Vestvagoy"
"1076","Norway:Langoya"
"1077","Norway:Hinnoya"
"1078","Norway:Senja"
"1079","Norway:14"
"1080","Norway:Arnoy"
"1081","Norway:16"
"1082","Norway:Vannoy"
"1083","Norway:Seiland"
"1084","Norway:Kvaloya"
"1085","Norway:Soroya"
"1086","Norway"
"1087","Norway:Mageroya"
"1088","Norway:Jan Mayen"
"1089","Norway:Svalbard:Byornoya"
"1090","Norway:Svalbard:Edgeoya"
"1091","Norway:Svalbard:Svenskoya"
"1092","Norway:Svalbard:104"
"1093","Norway:Svalbard:Kongsoya"
"1094","Norway:Svalbard:Spitsbergen"
"1095","Norway:Svalbard:Kvitoya"
"1096","Norway:Svalbard:31"
"1097","Norway:Svalbard:Nordaustlandet"
"1098","Nepal"
"1099","Nauru"
"1100","New Zealand:1"
"1101","New Zealand:Auckland Island"
"1102","New Zealand:Stewart Island"
"1103","New Zealand:Resolution Island"
"1104","New Zealand:5"
"1105","New Zealand:Pitt Island"
"1106","New Zealand:Chatham Island"
"1107","New Zealand:Rangitoto Island"
"1108","New Zealand:South Island"
"1109","New Zealand:Great Barrier Island"
"1110","New Zealand:North Island"
"1111","New Zealand:12"
"1112","New Zealand:13"
"1113","Oman:Jazirat Masirah"
"1114","Oman"
"1115","Oman:3"
"1116","Oman:Ra's Musandam"
"1117","Pakistan"
"1118","Panama:Isla de Coiba"
"1119","Panama:Isla San Jose"
"1120","Panama:Isla del Rey"
"1121","Panama:Isla Colon"
"1122","Panama"
"1123","Pitcairn Islands:Henderson"
"1124","Peru"
"1125","Philippines:Tawitawi"
"1126","Philippines:Sulu"
"1127","Philippines:Basilan"
"1128","Philippines:Samal Island"
"1129","Philippines:5"
"1130","Philippines:Balabac Island"
"1131","Philippines:7"
"1132","Philippines:Camiguin"
"1133","Philippines:Siquijor"
"1134","Philippines:10"
"1135","Philippines:Mindanao"
"1136","Philippines:Siargao"
"1137","Philippines:Panaon"
"1138","Philippines:Bohol"
"1139","Philippines:Dinagat"
"1140","Philippines:16"
"1141","Philippines:17"
"1142","Philippines:Guimaras"
"1143","Philippines:Negros"
"1144","Philippines:Cebu"
"1145","Philippines:21"
"1146","Philippines:Palawan"
"1147","Philippines:23"
"1148","Philippines:Leyte"
"1149","Philippines:Biliran"
"1150","Philippines:26"
"1151","Philippines:Panay"
"1152","Philippines:Culion"
"1153","Philippines:Busuanga"
"1154","Philippines:Sibuyan"
"1155","Philippines:Samar"
"1156","Philippines:Masbate"
"1157","Philippines:33"
"1158","Philippines:Tablas"
"1159","Philippines:Ticao"
"1160","Philippines:Burias"
"1161","Philippines:Mindoro"
"1162","Philippines:Marinduque"
"1163","Philippines:79"
"1164","Philippines:Catanduanes Island"
"1165","Philippines:81"
"1166","Philippines:Polillo Island"
"1167","Philippines:43"
"1168","Philippines:Camiguin-Babuyan"
"1169","Philippines:89"
"1170","Philippines:Calayan"
"1171","Philippines:Batan"
"1172","Philippines:Itbayat"
"1173","Palau:2"
"1174","Palau:Babelthuap"
"1175","Papua New Guinea:Tagula"
"1176","Papua New Guinea:Rossel"
"1177","Papua New Guinea:Sidea"
"1178","Papua New Guinea:Normanby Island"
"1179","Papua New Guinea:Fergusson Island"
"1180","Papua New Guinea:Goodenough Island"
"1181","Papua New Guinea:Woodlark"
"1182","Papua New Guinea:Kiwai"
"1183","Papua New Guinea:Kiriwina"
"1184","Papua New Guinea:Purutu"
"1185","Papua New Guinea:Umboi"
"1186","Papua New Guinea:Bougainville"
"1187","Papua New Guinea:Long Island"
"1188","Papua New Guinea:Buka"
"1189","Papua New Guinea:Karkar"
"1190","Papua New Guinea:New Britain"
"1191","Papua New Guinea:Ambitle"
"1192","Papua New Guinea:Lihir"
"1193","Papua New Guinea:48"
"1194","Papua New Guinea:Tatau"
"1195","Papua New Guinea"
"1196","Papua New Guinea:New Ireland"
"1197","Papua New Guinea:New Hanover"
"1198","Papua New Guinea:Rambutyo"
"1199","Papua New Guinea:Manus Island"
"1200","Papua New Guinea:Mussau"
"1201","Poland"
"1202","Puerto Rico:Isla Mona"
"1203","Puerto Rico:Viaques Island"
"1204","Puerto Rico"
"1205","North Korea:8"
"1206","North Korea"
"1207","Madeira Islands:Madeira"
"1208","Azores:Santa Maria"
"1209","Azores:Sao Miguel"
"1210","Azores:Pico"
"1211","Azores:10"
"1212","Azores:11"
"1213","Azores:Terceira"
"1214","Azores:Flores"
"1215","Portugal"
"1216","Paraguay"
"1217","Palestine:Gaza Strip"
"1218","Palestine:2"
"1219","French Polynesia:16"
"1220","French Polynesia:23"
"1221","French Polynesia:24"
"1222","French Polynesia:25"
"1223","French Polynesia:26"
"1224","French Polynesia:28"
"1225","French Polynesia:Tahiti"
"1226","French Polynesia:Moorea"
"1227","French Polynesia:Raitea"
"1228","French Polynesia:46"
"1229","French Polynesia:47"
"1230","French Polynesia:Tahaa"
"1231","French Polynesia:55"
"1232","French Polynesia:57"
"1233","French Polynesia:65"
"1234","French Polynesia:Fatu Hiva"
"1235","French Polynesia:Tahuata"
"1236","French Polynesia:Hiva Oa"
"1237","French Polynesia:Ua Pu"
"1238","French Polynesia:Ua Huka"
"1239","French Polynesia:Nuku Hiva"
"1240","Qatar"
"1241","Romania"
"1242","Russia:1"
"1243","Russia:2"
"1244","Russia:3"
"1245","Russia:Shikotan To"
"1246","Russia:Ostrov Kunashir"
"1247","Russia:Ostrov Iturup"
"1248","Russia:8"
"1249","Russia:Ostrov Urup"
"1250","Russia:Ostrov Simushir"
"1251","Russia:Ostrov Rasshua"
"1252","Russia:Ostrov Shiashkotan"
"1253","Russia:Ostrov Onekotan"
"1254","Russia:Ostrov Paramushir"
"1255","Russia:Ostrov Shumshu"
"1256","Russia:Ostrov Atlasova"
"1257","Russia:Ostrov Sakhalin"
"1258","Russia:29"
"1259","Russia:Ostrov Feklistova"
"1260","Russia:Ostrov Bol'shoy Shantar"
"1261","Russia:32"
"1262","Russia:Ostrov Bering"
"1263","Russia:Ostrov Zav'yalova"
"1264","Russia:Ostrov Karaginskiy"
"1265","Russia:Solovetskiye Ostrova"
"1266","Russia:56"
"1267","Russia:Ostrov Morzhovets"
"1268","Russia:Ostrov Kolguyev"
"1269","Russia:76"
"1270","Russia:75"
"1271","Russia:Ostrov Ayon"
"1272","Russia:Ostrov Vaygach"
"1273","Russia:85"
"1274","Russia:88"
"1275","Russia:Ostrov Mezhdusharskiy"
"1276","Russia:Ostrov Vrangelya"
"1277","Russia:Ostrov Yarok"
"1278","Russia:Ostrov Oleniy"
"1279","Russia:Ostrov Sibiryakova"
"1280","Russia:Ostrov Shokal'skogo"
"1281","Russia:Ostrov Dzhangylakh"
"1282","Russia:Novaya Zemlya:South"
"1283","Russia:Ostrov Belyy"
"1284","Russia:107"
"1285","Russia:Ostrov Vil'kitskogo"
"1286","Russia:Ostrov Bol'shoy Lyakhovskiy"
"1287","Russia:Ostrova Dunay"
"1288","Russia:113"
"1289","Russia:114"
"1290","Russia:Ostrov Stolbovoy"
"1291","Russia:Ostrov Malyy Lyakhovskiy"
"1292","Russia:Ostrov Plavnikovyye"
"1293","Russia:Ostrov Bol'shoy Begichev"
"1294","Russia:Ostrov Kolosovykh"
"1295","Russia:Ostrova Arkticheskogo Instituta"
"1296","Russia:Ostrov Novaya Sibr'"
"1297","Russia:Ostrov Bel'kovskiy"
"1298","Russia:135"
"1299","Russia:Ostrov Kotel'nyy"
"1300","Russia:Ostrov Taymyr"
"1301","Russia:141"
"1302","Russia:Ostrova Petra"
"1303","Russia:Ostrov Nordenshelda"
"1304","Russia:Ostrov Bennetta"
"1305","Russia:Novaya Zemlya:North"
"1306","Russia:Ostrov Russkiy"
"1307","Russia:156"
"1308","Russia:Ostrov Komsomol'skoy Pravdy"
"1309","Russia"
"1310","Russia:Ostrov Malyy Taymyr"
"1311","Russia:Ostrov Starokadomskogo"
"1312","Russia:Ostrov Bol'shevik"
"1313","Russia:Ostrov Vize"
"1314","Russia:171"
"1315","Russia:Ostrov Pioner"
"1316","Russia:175"
"1317","Russia:Ostrov Sal'm"
"1318","Russia:Ostrov Oktyabr'skoy Revolyutsii"
"1319","Russia:180"
"1320","Russia:182"
"1321","Russia:Ostrov Mak-Klintoka"
"1322","Russia:Ostrov Hooker"
"1323","Russia:Ostrov Gallya"
"1324","Russia:189"
"1325","Russia:Zemlya Alexsandry"
"1326","Russia:Zemlya Vilcheka"
"1327","Russia:Zemlya Georga"
"1328","Russia:Ostrov Ushakova"
"1329","Russia:198"
"1330","Russia:Ostrov Salisbury"
"1331","Russia:92"
"1332","Russia:201"
"1333","Russia:Ostrov Greem-Bell"
"1334","Russia:Ostrov Shmidta"
"1335","Russia:Ostrov Komsomolets"
"1336","Russia:209"
"1337","Russia:98"
"1338","Russia:Ostrova Belayazemiya"
"1339","Russia:Ostrov Rudolfa"
"1340","Rwanda"
"1341","Western Sahara"
"1342","Saudi Arabia:Jazair Farasan:South"
"1343","Saudi Arabia:2"
"1344","Saudi Arabia:3"
"1345","Saudi Arabia"
"1346","Sudan"
"1347","South Sudan"
"1348","Senegal"
"1349","Singapore"
"1350","South Sandwich Islands:Montagu Island"
"1351","South Georgia"
"1352","Saint Helena"
"1353","Ascension Island"
"1354","Solomon Islands:Vanikoro"
"1355","Solomon Islands:Rennel"
"1356","Solomon Islands:Nendo"
"1357","Solomon Islands:San Cristobal"
"1358","Solomon Islands:Maramasike"
"1359","Solomon Islands:Guadalcanal"
"1360","Solomon Islands:Ngella Sule"
"1361","Solomon Islands:Pavuvu"
"1362","Solomon Islands:Tetepare"
"1363","Solomon Islands:Nggatokae"
"1364","Solomon Islands:Vangunu"
"1365","Solomon Islands:Rendova"
"1366","Solomon Islands:San Jorge Island"
"1367","Solomon Islands:Malaita"
"1368","Solomon Islands:New Georgia"
"1369","Solomon Islands:Ranongga"
"1370","Solomon Islands:Kolombangara"
"1371","Solomon Islands:Vella Lavella"
"1372","Solomon Islands:Santa Isabel"
"1373","Solomon Islands:Shortland"
"1374","Solomon Islands:Choiseul"
"1375","Sierra Leone:Sherbro Island"
"1376","Sierra Leone"
"1377","El Salvador"
"1378","San Marino"
"1379","Somalia:Somaliland"
"1380","Somalia"
"1381","Saint Pierre and Miquelon:Saint Pierre"
"1382","Saint Pierre and Miquelon:Miquelon"
"1383","Serbia"
"1384","Sao Tome and Principe:Ilha da Sao Tome"
"1385","Sao Tome and Principe:Ilha do Principe"
"1386","Suriname"
"1387","Slovakia"
"1388","Slovenia"
"1389","Sweden:Oland"
"1390","Sweden:Gotland"
"1391","Sweden:Faro"
"1392","Sweden:Orno"
"1393","Sweden:Varmdo"
"1394","Sweden"
"1395","Swaziland"
"1396","Sint Maarten"
"1397","Seychelles:Mahe Island"
"1398","Syria"
"1399","Turks and Caicos Islands:Providenciales Island"
"1400","Turks and Caicos Islands:Grand Caicos Island"
"1401","Turks and Caicos Islands:North Caicos Island"
"1402","Chad"
"1403","Togo"
"1404","Thailand:Ko Tarutao "
"1405","Thailand:Ko Lanta Yai"
"1406","Thailand:Ko Yao Yai"
"1407","Thailand:Ko Phuket"
"1408","Thailand:Ko Phra Thong"
"1409","Thailand:Ko Samui"
"1410","Thailand:Ko Phangan"
"1411","Thailand:Ko Kut"
"1412","Thailand:Ko Chang"
"1413","Thailand"
"1414","Tajikistan:1"
"1415","Tajikistan:2"
"1416","Tajikistan:3"
"1417","Turkmenistan:Ogurja Ada"
"1418","Turkmenistan"
"1419","Timor-Leste:1"
"1420","Timor-Leste"
"1421","Timor-Leste:3"
"1422","Tonga:'Eua"
"1423","Tonga:Tongatapu"
"1424","Tonga:Vava'u"
"1425","Trinidad"
"1426","Tobago"
"1427","Tunisia:Jerba"
"1428","Tunisia:Shergui Island"
"1429","Tunisia"
"1430","Turkey:Gokceada"
"1431","Turkey"
"1432","Turkey:North"
"1433","Taiwan:Chinmen Tao"
"1434","Taiwan"
"1435","Tanzania:Mafia Island"
"1436","Tanzania:Zanzibar"
"1437","Tanzania:Pemba Island"
"1438","Tanzania"
"1439","Uganda"
"1440","Ukraine:Ostrov Dzharylgach"
"1441","Ukraine"
"1442","Uruguay"
"1443","USA:Hawaii"
"1444","USA:Hawaii:Lanai"
"1445","USA:Hawaii:Maui"
"1446","USA:Hawaii:Molokai"
"1447","USA:Hawaii:Oahu"
"1448","USA:Hawaii:Nihau"
"1449","USA:Hawaii:Kauai"
"1450","USA:Florida:Key West"
"1451","USA:Florida:Sugarloaf Key"
"1452","USA:Florida:Big Pine Key"
"1453","USA:Florida:Marathon Key"
"1454","USA:Florida:Long Key"
"1455","USA:13"
"1456","USA:Florida:Key Largo"
"1457","USA:Florida:Sanibel Island"
"1458","USA:16"
"1459","USA:Texas:Padre Island"
"1460","USA:Texas:Matagorda Island"
"1461","USA:Florida:Hutchinson Island"
"1462","USA:Texas:San Jose Island"
"1463","USA:Texas:Matagorda"
"1464","USA:Texas:Galveston Island"
"1465","USA:Louisiana:Marsh Island"
"1466","USA:Florida:Saint George Island"
"1467","USA:25"
"1468","USA:Louisiana:Chandeleur Island"
"1469","USA:Louisiana:Isle au Pitre"
"1470","USA:Mississippi:Horn Island"
"1471","USA:Alabama:Dauphin Island"
"1472","USA:30"
"1473","USA:California:San Clemente Island"
"1474","USA:California:San Nicolas Island"
"1475","USA:California:Santa Catalina Island"
"1476","USA:California:Santa Rosa Island"
"1477","USA:California:San Miguel Island"
"1478","USA:California:Santa Cruz Island"
"1479","USA:37"
"1480","USA:Core Banks"
"1481","USA:Ocracoke Island"
"1482","USA:Pea Island"
"1483","USA:41"
"1484","USA:Chincoteague Island"
"1485","USA:Long Beach Island"
"1486","USA:44"
"1487","USA:New York:Long Island"
"1488","USA:Massachusettes:Nantucket Island"
"1489","USA:Massachusettes:Martha's Vineyard"
"1490","USA:48"
"1491","USA:49"
"1492","USA:52"
"1493","USA:Maine:Mount Desert Island"
"1494","USA:67"
"1495","USA:69"
"1496","USA:70"
"1497","USA:Washington:Whidbey Island"
"1498","USA:73"
"1499","USA:Washington:San Juan Island"
"1500","USA:Washington:Orcas Island"
"1501","USA"
"1502","USA:Alaska:Amchitka Island"
"1503","USA:Alaska:Kagalaska Island"
"1504","USA:Alaska:Little Tanaga Island"
"1505","USA:Alaska:Tanaga Island"
"1506","USA:Alaska:Kanaga Island"
"1507","USA:Alaska:Adak Island"
"1508","USA:Alaska:203"
"1509","USA:Alaska:Semisopochnoi Island"
"1510","USA:Alaska:Great Sitkan Island"
"1511","USA:Alaska:Kiska Island"
"1512","USA:Alaska:Amlia Island"
"1513","USA:Alaska:Seguam Island"
"1514","USA:Alaska:Atka Island"
"1515","USA:Alaska:Agattu Island"
"1516","USA:Alaska:Yunaska Island"
"1517","USA:Alaska:Chuginadak Island"
"1518","USA:Alaska:Attu Island"
"1519","USA:Alaska:Umnak Island"
"1520","USA:Alaska:221"
"1521","USA:Alaska:Unalaska Island"
"1522","USA:Alaska:Akutan Island"
"1523","USA:Alaska:Akun Island"
"1524","USA:Alaska:Senak Island"
"1525","USA:Alaska:Deer Island"
"1526","USA:Alaska:Unimak Island"
"1527","USA:Alaska:237"
"1528","USA:Alaska:Big Koniuji Island"
"1529","USA:Alaska:Annette Island"
"1530","USA:Alaska:Nagai Island"
"1531","USA:Alaska:Dall Island"
"1532","USA:Alaska:107"
"1533","USA:Alaska:Unga Island"
"1534","USA:Alaska:109"
"1535","USA:Alaska:Chirikof Island"
"1536","USA:Alaska:Revillagigedo Island"
"1537","USA:Alaska:Prince of Wales Island"
"1538","USA:Alaska:Zarembo Island"
"1539","USA:Alaska:Etolin Island"
"1540","USA:Alaska:Tugidak Island"
"1541","USA:Alaska:116"
"1542","USA:Alaska:Saint George Island"
"1543","USA:Alaska:Mitkof Island"
"1544","USA:Alaska:Kuiu Island"
"1545","USA:Alaska:Kupreanof Island"
"1546","USA:Alaska:Sitkalidak Island"
"1547","USA:Alaska:Saint Paul Island"
"1548","USA:Alaska:Baranof Island"
"1549","USA:Alaska:Uganik Island"
"1550","USA:Alaska:Kodiak Island"
"1551","USA:Alaska:Chichagof Island"
"1552","USA:Alaska:299"
"1553","USA:Alaska:Admiralty Island"
"1554","USA:Alaska:Afognak Island"
"1555","USA:Alaska:Shuyak Island"
"1556","USA:Alaska:Hagemeister Island"
"1557","USA:Alaska:316"
"1558","USA:Alaska:133"
"1559","USA:Alaska:Montague Island"
"1560","USA:Alaska:Nunivak Island"
"1561","USA:Alaska:136"
"1562","USA:Alaska:Hinchinbrook Island"
"1563","USA:Alaska:138"
"1564","USA:Alaska:139"
"1565","USA:Alaska:Saint Matthew Island"
"1566","USA:Alaska:338"
"1567","USA:Alaska:142"
"1568","USA:Alaska:143"
"1569","USA:Alaska"
"1570","Uzbekistan:1"
"1571","Uzbekistan:2"
"1572","Uzbekistan"
"1573","Uzbekistan:4"
"1574","Vatican"
"1575","Grenadines:Canouan"
"1576","Grenadines:Bequia"
"1577","Saint Vincent"
"1578","Venezuela:1"
"1579","Venezuela:2"
"1580","Venezuela:Isla La Tortuga"
"1581","Venezuela:Isla de Margarita"
"1582","Venezuela"
"1583","Virgin Islands, British:Tortola"
"1584","Virgin Islands, British:2"
"1585","Virgin Islands, British:Anegada"
"1586","Virgin Islands, US:Saint Croix"
"1587","Virgin Islands, US:Saint John"
"1588","Virgin Islands, US:Saint Thomas"
"1589","Vietnam:Con Son"
"1590","Vietnam:Dao Phu Quoc"
"1591","Vietnam:3"
"1592","Vietnam:Dao Cat Ba"
"1593","Vietnam:Bac Nha Mac"
"1594","Vietnam:Bai Nha Mac"
"1595","Vietnam:Dao Car Bau"
"1596","Vietnam"
"1597","Vanuatu:Anatom"
"1598","Vanuatu:Tanna"
"1599","Vanuatu:Erromango"
"1600","Vanuatu:Efate"
"1601","Vanuatu:Epi"
"1602","Vanuatu:Ambrym"
"1603","Vanuatu:Malakula"
"1604","Vanuatu:Malo"
"1605","Vanuatu:Pentecost"
"1606","Vanuatu:Aoba"
"1607","Vanuatu:Maewo"
"1608","Vanuatu:Espiritu Santo"
"1609","Vanuatu:Santa Maria"
"1610","Vanuatu:Vanua Lava"
"1611","Wallis and Futuna:Futuna"
"1612","Wallis and Futuna:Uvea"
"1613","Samoa:Upolu"
"1614","Samoa:Savai'i"
"1615","Yemen:Suqutra"
"1616","Yemen:2"
"1617","Yemen:3"
"1618","Yemen:4"
"1619","Yemen"
"1620","South Africa:Marion Island"
"1621","South Africa"
"1622","South Africa:enclave:Lesoto"
"1623","Zambia"
"1624","Zimbabwe"
"1625","Netherlands:IJsselmeer"
"1626","Netherlands:Zuid-Flevoland"
"1627","Vatican:enclave"
