Country	2018	2017	2016	C2	C1
Latvia	1.946	1.95	1.793	0	0
Lithuania	2.825	2.523	2.296	0	0
Poland	19.623	18.4	17.463	0	0
Moldova	0.16	0.145	0.121	0	0
Romania	2.797	2.76	2.481	0	0
Slovakia	0	0	5.415	0	0
Tajikistan	1.25	0.431	0.16	0	0
Ukraine	14.207	14.23	13.33	0	0
Uzbekistan	0	0	0.975	0	0
Albania	5.34	4.643	4.07	0	0
Andorra	3.042	3.003	2.831	0	0
Bosnia and Herzegovina	1.053	0.922	0.777	0	0
Croatia	16.645	15.593	13.809	0	0
Cyprus	3.939	3.652	3.187	0	0
Macedonia	0.707	0.631	0.51	0	0
Malta	2.599	2.27	1.966	0	0
Montenegro	2.077	1.877	1.662	0	0
San Marino	0.084	0.078	0.06	0	0
Serbia	1.711	1.497	1.281	0	0
Slovenia	4.425	3.586	3.032	0	0
